timestamp(s),src,dst,seq,hops,delay_gen_to_rx(s),delay_first_tx_to_rx(s),bytes,sf,delivered
303.795330447,6,7,1,0,0.139776590,0.139776590,20,12,1
305.795330447,6,3,3,0,0.139776590,0.139776590,20,12,1
306.380899595,0,1,1,0,0.139776590,0.139776590,20,12,1
306.795331527,6,2,4,0,0.139777670,0.139777670,20,12,1
307.380900325,0,7,2,0,0.139777320,0.139777320,20,12,1
307.795331038,6,0,5,0,0.139777181,0.139777181,20,12,1
308.365923503,3,6,1,0,0.139776590,0.139776590,20,12,1
309.380899595,0,1,4,0,0.139776590,0.139776590,20,12,1
309.625837183,1,6,2,0,0.139777320,0.139777320,20,12,1
310.765613290,1,8,3,1,0.279553427,0.279553427,20,12,1
311.625836453,1,4,4,0,0.139776590,0.139776590,20,12,1
312.625836453,1,2,5,0,0.139776590,0.139776590,20,12,1
314.625836453,1,0,7,0,0.139776590,0.139776590,20,12,1
315.365924234,3,8,8,0,0.139777321,0.139777321,20,12,1
316.039271438,5,7,7,1,0.279553184,0.279553184,20,12,1
316.625836698,1,3,9,0,0.139776835,0.139776835,20,12,1
317.625836453,1,0,10,0,0.139776590,0.139776590,20,12,1
318.380899595,0,1,13,0,0.139776590,0.139776590,20,12,1
319.365923503,3,4,12,0,0.139776590,0.139776590,20,12,1
319.625836698,1,5,12,0,0.139776835,0.139776835,20,12,1
319.899494846,5,8,11,0,0.139776592,0.139776592,20,12,1
320.520676916,0,8,15,1,0.279553911,0.279553911,20,12,1
320.899494846,5,8,12,0,0.139776592,0.139776592,20,12,1
321.625837183,1,6,14,0,0.139777320,0.139777320,20,12,1
321.795330447,6,3,19,0,0.139776590,0.139776590,20,12,1
322.625836453,1,4,15,0,0.139776590,0.139776590,20,12,1
322.899494844,5,2,14,0,0.139776590,0.139776590,20,12,1
323.625836698,1,5,16,0,0.139776835,0.139776835,20,12,1
323.795330447,6,7,21,0,0.139776590,0.139776590,20,12,1
324.365923503,3,6,17,0,0.139776590,0.139776590,20,12,1
324.625836453,1,4,17,0,0.139776590,0.139776590,20,12,1
325.625836453,1,4,18,0,0.139776590,0.139776590,20,12,1
325.899494844,5,2,17,0,0.139776590,0.139776590,20,12,1
327.625836698,1,5,20,0,0.139776835,0.139776835,20,12,1
328.625836453,1,2,21,0,0.139776590,0.139776590,20,12,1
329.365923503,3,4,22,0,0.139776590,0.139776590,20,12,1
329.625836453,1,2,22,0,0.139776590,0.139776590,20,12,1
332.039271438,5,7,23,1,0.279553184,0.279553184,20,12,1
332.795331038,6,8,30,0,0.139777181,0.139777181,20,12,1
334.039271438,5,7,25,1,0.279553184,0.279553184,20,12,1
335.039271438,5,7,26,1,0.279553184,0.279553184,20,12,1
335.899495089,5,1,27,0,0.139776835,0.139776835,20,12,1
336.600487415,4,3,7,0,0.139776590,0.139776590,20,12,1
337.899495089,5,1,29,0,0.139776835,0.139776835,20,12,1
340.795330447,6,7,38,0,0.139776590,0.139776590,20,12,1
341.899494844,5,2,33,0,0.139776590,0.139776590,20,12,1
342.098559851,7,0,1,0,0.139777320,0.139777320,20,12,1
343.098559121,7,6,2,0,0.139776590,0.139776590,20,12,1
344.098559121,7,4,3,0,0.139776590,0.139776590,20,12,1
344.600487660,4,6,15,0,0.139776835,0.139776835,20,12,1
345.098559366,7,5,4,0,0.139776835,0.139776835,20,12,1
345.365923503,3,6,38,0,0.139776590,0.139776590,20,12,1
345.899495089,5,1,37,0,0.139776835,0.139776835,20,12,1
346.098559121,7,4,5,0,0.139776590,0.139776590,20,12,1
346.600487415,4,3,17,0,0.139776590,0.139776590,20,12,1
347.098559121,7,6,6,0,0.139776590,0.139776590,20,12,1
348.238335956,7,2,7,1,0.279553425,0.279553425,20,12,1
349.098559366,7,5,8,0,0.139776835,0.139776835,20,12,1
350.098559123,7,8,9,0,0.139776592,0.139776592,20,12,1
352.098559121,7,4,11,0,0.139776590,0.139776590,20,12,1
352.899494844,5,2,44,0,0.139776590,0.139776590,20,12,1
353.098559366,7,5,12,0,0.139776835,0.139776835,20,12,1
354.098559121,7,6,13,0,0.139776590,0.139776590,20,12,1
354.600487661,4,8,25,0,0.139776836,0.139776836,20,12,1
355.600487415,4,5,26,0,0.139776590,0.139776590,20,12,1
357.795330447,6,7,55,0,0.139776590,0.139776590,20,12,1
358.098559121,7,6,17,0,0.139776590,0.139776590,20,12,1
359.098559366,7,5,18,0,0.139776835,0.139776835,20,12,1
360.098559121,7,4,19,0,0.139776590,0.139776590,20,12,1
360.899495089,5,1,52,0,0.139776835,0.139776835,20,12,1
361.098559366,7,3,20,0,0.139776835,0.139776835,20,12,1
361.625836453,1,0,54,0,0.139776590,0.139776590,20,12,1
362.600487661,4,8,33,0,0.139776836,0.139776836,20,12,1
363.098559366,7,5,22,0,0.139776835,0.139776835,20,12,1
363.365923748,3,7,56,0,0.139776835,0.139776835,20,12,1
365.098559121,7,4,24,0,0.139776590,0.139776590,20,12,1
366.238335956,7,0,25,1,0.279553425,0.279553425,20,12,1
367.098559121,7,4,26,0,0.139776590,0.139776590,20,12,1
367.795330447,6,7,65,0,0.139776590,0.139776590,20,12,1
369.098559366,7,5,28,0,0.139776835,0.139776835,20,12,1
369.625836698,1,5,62,0,0.139776835,0.139776835,20,12,1
370.098559366,7,3,29,0,0.139776835,0.139776835,20,12,1
370.795330447,6,3,68,0,0.139776590,0.139776590,20,12,1
373.795330447,6,7,71,0,0.139776590,0.139776590,20,12,1
374.098559851,7,0,33,0,0.139777320,0.139777320,20,12,1
374.600487661,4,8,45,0,0.139776836,0.139776836,20,12,1
375.899495089,5,1,67,0,0.139776835,0.139776835,20,12,1
376.098559712,7,1,35,0,0.139777181,0.139777181,20,12,1
376.343628029,8,7,46,0,0.139776592,0.139776592,20,12,1
376.600487660,4,6,47,0,0.139776835,0.139776835,20,12,1
376.899494846,5,8,68,0,0.139776592,0.139776592,20,12,1
377.098559366,7,5,36,0,0.139776835,0.139776835,20,12,1
377.899495089,5,1,69,0,0.139776835,0.139776835,20,12,1
378.238335956,7,2,37,1,0.279553425,0.279553425,20,12,1
379.098559121,7,4,38,0,0.139776590,0.139776590,20,12,1
380.098559121,7,4,39,0,0.139776590,0.139776590,20,12,1
381.098559851,7,2,40,0,0.139777320,0.139777320,20,12,1
384.795330447,6,3,82,0,0.139776590,0.139776590,20,12,1
385.098559851,7,2,44,0,0.139777320,0.139777320,20,12,1
385.600487415,4,7,56,0,0.139776590,0.139776590,20,12,1
385.625836453,1,0,78,0,0.139776590,0.139776590,20,12,1
386.098559366,7,3,45,0,0.139776835,0.139776835,20,12,1
388.098559121,7,6,47,0,0.139776590,0.139776590,20,12,1
388.795330447,6,3,86,0,0.139776590,0.139776590,20,12,1
388.899495089,5,1,80,0,0.139776835,0.139776835,20,12,1
389.098559712,7,1,48,0,0.139777181,0.139777181,20,12,1
390.098559712,7,1,49,0,0.139777181,0.139777181,20,12,1
391.098559123,7,8,50,0,0.139776592,0.139776592,20,12,1
392.098559121,7,6,51,0,0.139776590,0.139776590,20,12,1
392.600487415,4,7,63,0,0.139776590,0.139776590,20,12,1
394.098559366,7,3,53,0,0.139776835,0.139776835,20,12,1
394.343628029,8,7,64,0,0.139776592,0.139776592,20,12,1
394.795330692,6,4,92,0,0.139776835,0.139776835,20,12,1
395.098559366,7,3,54,0,0.139776835,0.139776835,20,12,1
395.365924233,3,2,88,0,0.139777320,0.139777320,20,12,1
396.098559366,7,3,55,0,0.139776835,0.139776835,20,12,1
396.343628029,8,7,66,0,0.139776592,0.139776592,20,12,1
398.098559366,7,3,57,0,0.139776835,0.139776835,20,12,1
398.899494846,5,8,90,0,0.139776592,0.139776592,20,12,1
399.098559712,7,1,58,0,0.139777181,0.139777181,20,12,1
399.899495089,5,1,91,0,0.139776835,0.139776835,20,12,1
400.098559851,7,0,59,0,0.139777320,0.139777320,20,12,1
401.098559366,7,3,60,0,0.139776835,0.139776835,20,12,1
402.098559123,7,8,61,0,0.139776592,0.139776592,20,12,1
403.098559712,7,1,62,0,0.139777181,0.139777181,20,12,1
404.098559121,7,4,63,0,0.139776590,0.139776590,20,12,1
404.600487415,4,7,75,0,0.139776590,0.139776590,20,12,1
406.098559366,7,3,65,0,0.139776835,0.139776835,20,12,1
406.899494846,5,8,98,0,0.139776592,0.139776592,20,12,1
407.098559121,7,4,66,0,0.139776590,0.139776590,20,12,1
407.765613290,1,8,100,1,0.279553427,0.279553427,20,12,1
407.925869288,5,4,99,0,0.166151034,0.139776590,20,12,1
408.098559121,7,6,67,0,0.139776590,0.139776590,20,12,1
408.365923503,3,6,101,0,0.139776590,0.139776590,20,12,1
408.899494844,5,2,100,0,0.139776590,0.139776590,20,12,1
410.098559712,7,1,69,0,0.139777181,0.139777181,20,12,1
410.899495089,5,1,102,0,0.139776835,0.139776835,20,12,1
411.098559121,7,4,70,0,0.139776590,0.139776590,20,12,1
412.098559123,7,8,71,0,0.139776592,0.139776592,20,12,1
413.098559366,7,5,72,0,0.139776835,0.139776835,20,12,1
414.098559121,7,4,73,0,0.139776590,0.139776590,20,12,1
415.098559851,7,0,74,0,0.139777320,0.139777320,20,12,1
416.098559851,7,2,75,0,0.139777320,0.139777320,20,12,1
417.098559366,7,3,76,0,0.139776835,0.139776835,20,12,1
417.899494844,5,2,109,0,0.139776590,0.139776590,20,12,1
418.098559121,7,4,77,0,0.139776590,0.139776590,20,12,1
419.098559851,7,0,78,0,0.139777320,0.139777320,20,12,1
420.098559123,7,8,79,0,0.139776592,0.139776592,20,12,1
421.098559123,7,8,80,0,0.139776592,0.139776592,20,12,1
422.098559121,7,6,81,0,0.139776590,0.139776590,20,12,1
423.600487415,4,7,94,0,0.139776590,0.139776590,20,12,1
424.238336201,7,1,83,1,0.279553670,0.279553670,20,12,1
425.098559121,7,6,84,0,0.139776590,0.139776590,20,12,1
426.899494844,5,2,118,0,0.139776590,0.139776590,20,12,1
427.238336201,7,1,86,1,0.279553670,0.279553670,20,12,1
427.625837183,1,6,120,0,0.139777320,0.139777320,20,12,1
427.899495089,5,1,119,0,0.139776835,0.139776835,20,12,1
428.365923748,3,7,121,0,0.139776835,0.139776835,20,12,1
429.098559121,7,4,88,0,0.139776590,0.139776590,20,12,1
429.795331038,6,0,127,0,0.139777181,0.139777181,20,12,1
430.098559366,7,3,89,0,0.139776835,0.139776835,20,12,1
430.365923503,3,6,123,0,0.139776590,0.139776590,20,12,1
431.098559123,7,8,90,0,0.139776592,0.139776592,20,12,1
431.343628029,8,5,101,0,0.139776592,0.139776592,20,12,1
431.795330447,6,3,129,0,0.139776590,0.139776590,20,12,1
432.098559712,7,1,91,0,0.139777181,0.139777181,20,12,1
433.098559121,7,6,92,0,0.139776590,0.139776590,20,12,1
433.899495089,5,1,125,0,0.139776835,0.139776835,20,12,1
434.098559712,7,1,93,0,0.139777181,0.139777181,20,12,1
434.899495089,5,1,126,0,0.139776835,0.139776835,20,12,1
435.098559123,7,8,94,0,0.139776592,0.139776592,20,12,1
435.795330447,6,7,133,0,0.139776590,0.139776590,20,12,1
438.098559121,7,4,97,0,0.139776590,0.139776590,20,12,1
438.343628029,8,5,108,0,0.139776592,0.139776592,20,12,1
439.600487660,4,6,110,0,0.139776835,0.139776835,20,12,1
440.098559121,7,6,99,0,0.139776590,0.139776590,20,12,1
440.365923503,3,6,133,0,0.139776590,0.139776590,20,12,1
440.899495574,5,0,132,0,0.139777320,0.139777320,20,12,1
441.098559121,7,6,100,0,0.139776590,0.139776590,20,12,1
443.098559366,7,5,102,0,0.139776835,38.303228919,20,12,1
444.098559366,7,5,103,0,0.139776835,38.303228919,20,12,1
445.098559123,7,8,104,0,0.139776592,0.139776592,20,12,1
446.098559121,7,6,105,0,0.139776590,0.139776590,20,12,1
446.343628029,8,5,116,0,0.139776592,0.139776592,20,12,1
448.899494844,5,2,140,0,0.139776590,0.139776590,20,12,1
449.098559121,7,6,108,0,0.139776590,0.139776590,20,12,1
450.238336201,7,1,109,1,0.279553670,0.279553670,20,12,1
450.795331177,6,1,148,0,0.139777320,0.139777320,20,12,1
451.098559366,7,3,110,0,0.139776835,0.139776835,20,12,1
452.625836698,1,5,145,0,0.139776835,0.139776835,20,12,1
452.795330447,6,7,150,0,0.139776590,0.139776590,20,12,1
453.098559366,7,3,112,0,0.139776835,0.139776835,20,12,1
453.795330447,6,3,151,0,0.139776590,0.139776590,20,12,1
454.098559366,7,5,113,0,0.139776835,0.139776835,20,12,1
454.600487415,4,7,125,0,0.139776590,0.139776590,20,12,1
455.098559366,7,5,114,0,0.139776835,0.139776835,20,12,1
455.795330447,6,7,153,0,0.139776590,0.139776590,20,12,1
456.098559121,7,4,115,0,0.139776590,0.139776590,20,12,1
457.098559121,7,4,116,0,0.139776590,0.139776590,20,12,1
457.899494844,5,2,149,0,0.139776590,0.139776590,20,12,1
458.098559851,7,2,117,0,0.139777320,0.139777320,20,12,1
458.365923503,3,6,151,0,0.139776590,0.139776590,20,12,1
458.795330447,6,7,156,0,0.139776590,0.139776590,20,12,1
458.899494846,5,8,150,0,0.139776592,0.139776592,20,12,1
459.343628029,8,5,129,0,0.139776592,0.139776592,20,12,1
460.899494846,5,8,152,0,0.139776592,0.139776592,20,12,1
461.098559712,7,1,120,0,0.139777181,0.139777181,20,12,1
461.795330447,6,3,159,0,0.139776590,0.139776590,20,12,1
462.098559851,7,2,121,0,0.139777320,0.139777320,20,12,1
462.899495089,5,1,154,0,0.139776835,0.139776835,20,12,1
463.625836698,1,5,156,0,0.139776835,0.139776835,20,12,1
463.795331038,6,0,161,0,0.139777181,0.139777181,20,12,1
464.098559121,7,6,123,0,0.139776590,0.139776590,20,12,1
465.238335956,7,2,124,1,0.279553425,0.279553425,20,12,1
466.098559366,7,5,125,0,0.139776835,0.139776835,20,12,1
466.795331038,6,0,164,0,0.139777181,0.139777181,20,12,1
467.098559121,7,6,126,0,0.139776590,0.139776590,20,12,1
469.098559851,7,2,128,0,0.139777320,0.139777320,20,12,1
470.899494846,5,8,162,0,0.139776592,0.139776592,20,12,1
471.098559851,7,2,130,0,0.139777320,0.139777320,20,12,1
473.899495089,5,1,165,0,0.139776835,0.139776835,20,12,1
474.098559712,7,1,133,0,0.139777181,0.139777181,20,12,1
474.795330447,6,3,172,0,0.139776590,0.139776590,20,12,1
475.098559712,7,1,134,0,0.139777181,0.139777181,20,12,1
475.795331177,6,1,173,0,0.139777320,0.139777320,20,12,1
476.098559121,7,4,135,0,0.139776590,0.139776590,20,12,1
477.098559851,7,2,136,0,0.139777320,0.139777320,20,12,1
477.343628029,8,7,147,0,0.139776592,0.139776592,20,12,1
478.098559851,7,0,137,0,0.139777320,0.139777320,20,12,1
478.935107767,6,2,176,1,0.279553910,0.279553910,20,12,1
479.600487415,4,7,150,0,0.139776590,0.139776590,20,12,1
480.098559366,7,5,139,0,0.139776835,0.139776835,20,12,1
480.795330447,6,3,178,0,0.139776590,0.139776590,20,12,1
480.899494844,5,2,172,0,0.139776590,0.139776590,20,12,1
481.098559366,7,3,140,0,0.139776835,0.139776835,20,12,1
482.098559851,7,0,141,0,0.139777320,0.139777320,20,12,1
483.600487415,4,7,154,0,0.139776590,0.139776590,20,12,1
483.795330447,6,3,181,0,0.139776590,0.139776590,20,12,1
484.098559121,7,4,143,0,0.139776590,0.139776590,20,12,1
484.795330447,6,7,182,0,0.139776590,0.139776590,20,12,1
485.098559121,7,6,144,0,0.139776590,0.139776590,20,12,1
485.899494846,5,8,177,0,0.139776592,0.139776592,20,12,1
486.098559366,7,3,145,0,0.139776835,0.139776835,20,12,1
487.098559121,7,6,146,0,0.139776590,0.139776590,20,12,1
488.098559121,7,4,147,0,0.139776590,0.139776590,20,12,1
489.098559123,7,8,148,0,0.139776592,0.139776592,20,12,1
490.098559121,7,4,149,0,0.139776590,0.139776590,20,12,1
491.600487660,4,6,162,0,0.139776835,0.139776835,20,12,1
491.795330447,6,3,189,0,0.139776590,0.139776590,20,12,1
492.098559851,7,2,151,0,0.139777320,0.139777320,20,12,1
493.098559851,7,2,152,0,0.139777320,0.139777320,20,12,1
495.098559851,7,2,154,0,0.139777320,0.139777320,20,12,1
495.899495089,5,1,187,0,0.139776835,0.139776835,20,12,1
496.098559851,7,2,155,0,0.139777320,0.139777320,20,12,1
496.795330447,6,3,194,0,0.139776590,0.139776590,20,12,1
497.098559121,7,4,156,0,0.139776590,0.139776590,20,12,1
498.098559121,7,6,157,0,0.139776590,0.139776590,20,12,1
498.343628029,8,7,168,0,0.139776592,0.139776592,20,12,1
499.098559121,7,4,158,0,0.139776590,0.139776590,20,12,1
500.098559121,7,6,159,0,0.139776590,0.139776590,20,12,1
500.343628029,8,5,170,0,0.139776592,0.139776592,20,12,1
501.795330447,6,3,199,0,0.139776590,0.139776590,20,12,1
502.098559121,7,4,161,0,0.139776590,0.139776590,20,12,1
502.600487415,4,3,173,0,0.139776590,0.139776590,20,12,1
504.238336201,7,1,163,1,0.279553670,0.279553670,20,12,1
504.899495089,5,1,196,0,0.139776835,0.139776835,20,12,1
505.365923748,3,1,198,0,0.139776835,0.139776835,20,12,1
505.600487415,4,3,176,0,0.139776590,0.139776590,20,12,1
505.899495089,5,1,197,0,0.139776835,0.139776835,20,12,1
506.098559712,7,1,165,0,0.139777181,0.139777181,20,12,1
507.098559712,7,1,166,0,0.139777181,0.139777181,20,12,1
507.899494846,5,8,199,0,0.139776592,0.139776592,20,12,1
509.343628029,8,5,179,0,0.139776592,0.139776592,20,12,1
509.795330447,6,3,207,0,0.139776590,0.139776590,20,12,1
510.098559121,7,4,169,0,0.139776590,0.139776590,20,12,1
510.795331038,6,8,208,0,0.139777181,0.139777181,20,12,1
511.098559121,7,4,170,0,0.139776590,0.139776590,20,12,1
513.098559121,7,6,172,0,0.139776590,0.139776590,20,12,1
513.899494844,5,2,205,0,0.139776590,0.139776590,20,12,1
514.098559121,7,4,173,0,0.139776590,0.139776590,20,12,1
516.098559366,7,5,175,0,0.139776835,0.139776835,20,12,1
517.098559366,7,5,176,0,0.139776835,0.139776835,20,12,1
517.365923503,3,4,210,0,0.139776590,0.139776590,20,12,1
517.899494844,5,4,209,0,0.139776590,0.139776590,20,12,1
518.098559366,7,5,177,0,0.139776835,0.139776835,20,12,1
519.098559851,7,2,178,0,0.139777320,0.139777320,20,12,1
519.600487415,4,7,190,0,0.139776590,0.139776590,20,12,1
520.098559121,7,6,179,0,0.139776590,0.139776590,20,12,1
520.343628618,8,2,190,0,0.139777181,0.139777181,20,12,1
522.600487415,4,3,193,0,0.139776590,0.139776590,20,12,1
523.098559121,7,4,182,0,0.139776590,0.139776590,20,12,1
523.899495089,5,1,215,0,0.139776835,0.139776835,20,12,1
524.098559121,7,4,183,0,0.139776590,0.139776590,20,12,1
524.600487661,4,8,195,0,0.139776836,0.139776836,20,12,1
524.795330447,6,3,222,0,0.139776590,0.139776590,20,12,1
525.899494846,5,8,217,0,0.139776592,0.139776592,20,12,1
527.098559712,7,1,186,0,0.139777181,0.139777181,20,12,1
532.098559366,7,3,191,0,0.139776835,0.139776835,20,12,1
