timestamp(s),nodeId,kind,bytes,src,dst,seq,hops,sf
3.205627681,2,beacon,6,2,65535,1,0,7
6.060164480,4,beacon,9,4,65535,1,0,8
6.422851395,0,beacon,9,0,65535,1,0,8
7.769219712,6,beacon,12,6,65535,1,0,7
7.931177313,1,beacon,15,1,65535,1,0,7
8.129722679,8,beacon,9,8,65535,1,0,7
10.179680522,5,beacon,15,5,65535,1,0,7
11.000395817,3,beacon,18,3,65535,1,0,7
12.847284098,7,beacon,18,7,65535,1,0,7
63.205627681,2,beacon,21,2,65535,2,0,7
66.060164480,4,beacon,30,4,65535,2,0,7
66.422851395,0,beacon,30,0,65535,2,0,7
67.769219712,6,beacon,18,6,65535,2,0,8
67.931177313,1,beacon,30,1,65535,2,0,7
68.129722679,8,beacon,30,8,65535,2,0,8
70.179680522,5,beacon,30,5,65535,2,0,8
71.000395817,3,beacon,30,3,65535,2,0,7
72.847284098,7,beacon,30,7,65535,2,0,8
123.205627681,2,beacon,30,2,65535,3,0,7
126.060164480,4,beacon,30,4,65535,3,0,7
126.422851395,0,beacon,30,0,65535,3,0,7
127.769219712,6,beacon,30,6,65535,3,0,8
127.931177313,1,beacon,30,1,65535,3,0,8
128.129722679,8,beacon,30,8,65535,3,0,8
130.179680522,5,beacon,30,5,65535,3,0,8
131.000395817,3,beacon,30,3,65535,3,0,7
132.847284098,7,beacon,30,7,65535,3,0,7
183.205627681,2,beacon,30,2,65535,4,0,8
186.060164480,4,beacon,30,4,65535,4,0,7
186.422851395,0,beacon,30,0,65535,4,0,8
187.769219712,6,beacon,30,6,65535,4,0,7
187.931177313,1,beacon,30,1,65535,4,0,8
188.129722679,8,beacon,30,8,65535,4,0,7
190.179680522,5,beacon,30,5,65535,4,0,7
191.000395817,3,beacon,30,3,65535,4,0,8
192.847284098,7,beacon,30,7,65535,4,0,7
243.205627681,2,beacon,30,2,65535,5,0,8
246.060164480,4,beacon,30,4,65535,5,0,7
246.422851395,0,beacon,30,0,65535,5,0,8
247.769219712,6,beacon,30,6,65535,5,0,8
247.931177313,1,beacon,30,1,65535,5,0,8
248.129722679,8,beacon,30,8,65535,5,0,8
250.179680522,5,beacon,30,5,65535,5,0,7
251.000395817,3,beacon,30,3,65535,5,0,7
252.847284098,7,beacon,30,7,65535,5,0,7
303.205627681,2,beacon,30,2,65535,6,0,7
303.655553857,6,data,27,6,7,1,0,8
304.655553857,6,data,27,6,0,2,0,8
304.795330447,3,data,27,6,0,2,1,8
305.655553857,6,data,27,6,3,3,0,8
306.060164480,4,beacon,30,4,65535,6,0,7
306.241123005,0,data,27,0,1,1,0,8
306.422851395,0,beacon,30,0,65535,6,0,7
306.655553857,6,data,27,6,2,4,0,8
306.795330692,4,data,27,6,2,4,1,8
307.241123005,0,data,27,0,7,2,0,8
307.655553857,6,data,27,6,0,5,0,8
307.815809857,6,beacon,30,6,65535,6,0,7
307.931177313,1,beacon,30,1,65535,6,0,8
308.129722679,8,beacon,30,8,65535,6,0,7
308.226146913,3,data,27,3,6,1,0,8
308.241123005,0,data,27,0,5,3,0,8
308.486059863,1,data,27,1,6,1,0,8
308.625836453,4,data,27,1,6,1,1,8
308.655553857,6,data,27,6,5,6,0,8
309.226146913,3,data,27,3,0,2,0,8
309.241123005,0,data,27,0,1,4,0,8
309.486059863,1,data,27,1,6,2,0,8
309.625836453,4,data,27,1,6,2,1,8
309.655553857,6,data,27,6,3,7,0,8
309.759718254,5,data,27,5,1,1,0,8
310.179680522,5,beacon,30,5,65535,6,0,7
310.226146913,3,data,27,3,2,3,0,8
310.241123005,0,data,27,0,7,5,0,8
310.486059863,1,data,27,1,8,3,0,8
310.625836698,5,data,27,1,8,3,1,8
310.655553857,6,data,27,6,5,8,0,8
310.786092698,5,data,27,5,0,2,0,8
311.000395817,3,beacon,30,3,65535,6,0,7
311.226146913,3,data,27,3,1,4,0,8
311.241123005,0,data,27,0,7,6,0,8
311.486059863,1,data,27,1,4,4,0,8
311.655553857,6,data,27,6,8,9,0,8
311.759718254,5,data,27,5,6,3,0,8
312.226146913,3,data,27,3,2,5,0,8
312.241123005,0,data,27,0,6,7,0,8
312.486059863,1,data,27,1,2,5,0,8
312.625836453,4,data,27,1,2,5,1,8
