timestamp(s),nodeId,destination,nextHop,hops,score,seq,action
303.655553857,6,7,7,1,1,4,USED
304.655553857,6,0,3,2,2,4,USED
305.655553857,6,3,3,1,1,4,USED
306.241123005,0,1,1,1,1,4,USED
306.655553857,6,2,4,2,2,5,USED
307.241123005,0,7,7,1,1,4,USED
307.655553857,6,0,0,1,1,5,USED
308.226146913,3,6,6,1,1,5,USED
308.241123005,0,5,7,2,2,4,USED
308.486059863,1,6,4,2,2,5,USED
308.655553857,6,5,5,1,1,3,USED
309.226146913,3,0,0,1,1,5,USED
309.241123005,0,1,1,1,1,5,USED
309.486059863,1,6,4,2,2,5,USED
309.655553857,6,3,3,1,1,4,USED
309.759718254,5,1,1,1,2,5,USED
310.226146913,3,2,2,1,1,5,USED
310.241123005,0,7,7,1,1,4,USED
310.486059863,1,8,5,2,2,5,USED
310.655553857,6,5,5,1,2,5,USED
310.759718254,5,0,0,1,1,4,USED
311.226146913,3,1,1,1,1,5,USED
311.241123005,0,7,7,1,1,4,USED
311.486059863,1,4,4,1,1,5,USED
311.655553857,6,8,8,1,1,4,USED
311.759718254,5,6,4,2,2,5,USED
312.226146913,3,2,2,1,1,5,USED
312.241123005,0,6,3,2,2,5,USED
312.486059863,1,2,4,2,2,5,USED
312.655553857,6,3,3,1,1,5,USED
312.759718254,5,4,4,1,1,5,USED
313.226146913,3,5,6,2,2,5,USED
313.241123005,0,2,3,2,2,5,USED
313.486059863,1,5,5,1,1,5,USED
313.655553857,6,8,8,1,1,4,USED
313.759718254,5,2,2,1,1,5,USED
314.226146913,3,2,2,1,1,5,USED
314.241123005,0,4,4,1,1,5,USED
314.486059863,1,0,3,2,2,5,USED
314.655553857,6,5,5,1,2,5,USED
314.759718254,5,1,1,1,2,5,USED
315.226146913,3,8,6,2,2,5,USED
315.241123005,0,7,7,1,1,4,USED
315.486059863,1,7,7,1,1,2,USED
315.655553857,6,3,3,1,1,5,USED
315.759718254,5,7,8,2,2,4,USED
316.226146913,3,0,0,1,1,5,USED
316.241123005,0,7,7,1,1,4,USED
316.486059863,1,3,3,1,1,5,USED
316.655553857,6,0,0,1,1,5,USED
316.759718254,5,8,8,1,1,4,USED
317.226146913,3,5,6,2,2,5,USED
317.241123005,0,5,7,2,2,4,USED
317.486059863,1,0,3,2,2,5,USED
317.655553857,6,0,0,1,1,5,USED
317.759718254,5,3,4,2,2,5,USED
318.226146913,3,0,0,1,1,5,USED
318.241123005,0,1,1,1,1,5,USED
318.486059863,1,6,4,2,2,5,USED
318.655553857,6,0,0,1,1,5,USED
318.759718254,5,7,8,2,2,4,USED
319.226146913,3,4,4,1,1,5,USED
319.241123005,0,6,3,2,2,5,USED
319.486059863,1,5,5,1,1,5,USED
319.655553857,6,4,4,1,1,5,USED
319.759718254,5,8,8,1,1,4,USED
320.226146913,3,7,6,2,2,5,USED
320.241123005,0,8,1,2,3,5,USED
320.486059863,1,0,3,2,2,5,USED
320.655553857,6,1,0,2,2,5,USED
320.759718254,5,8,8,1,1,4,USED
321.226146913,3,8,6,2,2,5,USED
321.241123005,0,6,3,2,2,5,USED
321.486059863,1,6,4,2,2,5,USED
321.655553857,6,3,3,1,1,5,USED
321.759718254,5,1,1,1,2,5,USED
322.226146913,3,0,0,1,1,5,USED
322.241123005,0,7,7,1,1,4,USED
322.486059863,1,4,4,1,1,5,USED
322.655553857,6,1,0,2,2,5,USED
