timestamp(s),nodeId,src,dst,seq,ttl,hops,rssi(dBm),battery(mV),score,sf,energyJ,energyFrac,forwarded
303.795330447,7,6,7,1,63,0,0,0,0,12,3885.957257734,0.999474603,0
304.795330447,3,6,0,2,63,0,0,0,0,12,3885.945437385,0.999471563,1
305.795330447,3,6,3,3,63,0,0,0,0,12,3885.873351860,0.999453023,0
306.380899595,1,0,1,1,63,0,0,0,0,12,3885.874054390,0.999453203,0
306.795330692,4,6,2,4,63,0,0,0,0,12,3885.827495439,0.999441228,1
306.795331527,2,6,2,4,63,0,0,0,0,12,3885.874271703,0.999453259,0
307.380900325,7,0,7,2,63,0,0,0,0,12,3885.895008805,0.999458593,0
307.795331038,0,6,0,5,63,0,0,0,0,12,3885.750903565,0.999421529,0
308.365923503,6,3,6,1,63,0,0,0,0,12,3885.551186023,0.999370161,0
308.625836453,4,1,6,1,63,0,0,0,0,12,3885.725338235,0.999414953,1
309.380899595,1,0,1,4,63,0,0,0,0,12,3885.700354171,0.999408527,0
309.625836453,4,1,6,2,63,0,0,0,0,12,3885.653252710,0.999396413,1
309.625837183,6,1,6,2,63,0,0,0,0,12,3885.471661103,0.999349707,0
310.625836698,5,1,8,3,63,0,0,0,0,12,3885.759759440,0.999423806,1
310.765613290,8,1,8,3,62,1,0,0,0,12,3885.827430129,0.999441211,0
311.625836453,4,1,4,4,63,0,0,0,0,12,3885.556441211,0.999371513,0
312.625836453,2,1,2,5,63,0,0,0,0,12,3885.759517798,0.999423744,0
312.625836453,4,1,2,5,63,0,0,0,0,12,3885.544738918,0.999368503,1
313.365923503,6,3,5,6,63,0,0,0,0,12,3885.174194023,0.999273198,1
314.625836453,0,1,0,7,63,0,0,0,0,12,3885.231476203,0.999287931,0
314.625836698,3,1,0,7,63,0,0,0,0,12,3885.276938638,0.999299624,1
315.365923503,6,3,8,8,63,0,0,0,0,12,3884.969639742,0.999220586,1
315.365924234,8,3,8,8,63,0,0,0,0,12,3885.765278583,0.999425226,0
315.899494846,8,5,7,7,63,0,0,0,0,12,3885.756262924,0.999422907,1
316.039271438,7,5,7,7,62,1,0,0,0,12,3885.729351094,0.999415985,0
316.625836698,3,1,3,9,63,0,0,0,0,12,3885.078326649,0.999248541,0
317.365923503,6,3,5,10,63,0,0,0,0,12,3884.771027753,0.999169503,1
317.625836453,0,1,0,10,63,0,0,0,0,12,3885.009277338,0.999230781,0
318.380899595,1,0,1,13,63,0,0,0,0,12,3885.056387645,0.999242898,0
318.625836453,4,1,6,11,63,0,0,0,0,12,3885.392774359,0.999329417,1
319.365923503,4,3,4,12,63,0,0,0,0,12,3885.322185933,0.999311262,0
319.625836698,5,1,5,12,63,0,0,0,0,12,3885.050606488,0.999241411,0
319.899494846,8,5,8,11,63,0,0,0,0,12,3885.637185937,0.999392280,0
320.380899595,1,0,8,15,63,0,0,0,0,12,3884.906274304,0.999204289,1
320.520676430,5,0,8,15,62,1,0,0,0,12,3884.973184394,0.999221498,1
320.520676916,8,0,8,15,62,1,0,0,0,12,3885.627665636,0.999389832,0
320.899494846,8,5,8,12,63,0,0,0,0,12,3885.613599059,0.999386214,0
321.625837183,6,1,6,14,63,0,0,0,0,12,3884.426747613,0.999080954,0
321.795330447,3,6,3,19,63,0,0,0,0,12,3884.710980451,0.999154059,0
322.625836453,4,1,4,15,63,0,0,0,0,12,3885.279639665,0.999300319,0
322.899494844,2,5,2,14,63,0,0,0,0,12,3885.593380261,0.999381013,0
323.365923503,6,3,5,16,63,0,0,0,0,12,3884.290015959,0.999045786,1
323.625836698,5,1,5,16,63,0,0,0,0,12,3884.695938866,0.999150190,0
323.795330447,7,6,7,21,63,0,0,0,0,12,3885.625253270,0.999389211,0
324.365923503,6,3,6,17,63,0,0,0,0,12,3884.157547203,0.999011715,0
324.625836453,4,1,4,17,63,0,0,0,0,12,3885.262177372,0.999295828,0
325.365923503,6,3,5,18,63,0,0,0,0,12,3884.079519386,0.998991646,1
325.625836453,4,1,4,18,63,0,0,0,0,12,3885.250475080,0.999292818,0
325.899494844,2,5,2,17,63,0,0,0,0,12,3885.552331091,0.999370456,0
326.625836453,4,1,6,19,63,0,0,0,0,12,3885.238772787,0.999289808,1
327.625836698,5,1,5,20,63,0,0,0,0,12,3884.395712183,0.999072971,0
327.795330447,3,6,2,25,63,0,0,0,0,12,3884.260640426,0.999038231,1
328.625836453,2,1,2,21,63,0,0,0,0,12,3885.506915901,0.999358775,0
328.625836453,4,1,2,21,63,0,0,0,0,12,3885.154984970,0.999268257,1
329.365923503,4,3,4,22,63,0,0,0,0,12,3885.084396544,0.999250102,0
329.625836453,2,1,2,22,63,0,0,0,0,12,3885.495213609,0.999355765,0
329.625836453,4,1,2,22,63,0,0,0,0,12,3885.076957153,0.999248189,1
330.795330447,3,6,2,28,63,0,0,0,0,12,3883.978058328,0.998965550,1
331.899494846,8,5,7,23,63,0,0,0,0,12,3885.418548318,0.999336046,1
332.039271438,7,5,7,23,62,1,0,0,0,12,3885.548056707,0.999369356,0
332.795331038,8,6,8,30,63,0,0,0,0,12,3885.286679545,0.999302130,0
333.899494846,8,5,7,25,63,0,0,0,0,12,3885.213994037,0.999283435,1
334.039271438,7,5,7,25,62,1,0,0,0,12,3885.518709830,0.999361808,0
334.899494846,8,5,7,26,63,0,0,0,0,12,3885.081525280,0.999249363,1
335.039271438,7,5,7,26,62,1,0,0,0,12,3885.507007537,0.999358798,0
335.899495089,1,5,1,27,63,0,0,0,0,12,3883.725007032,0.998900465,0
336.600487415,3,4,3,7,63,0,0,0,0,12,3883.474399660,0.998836008,0
337.795330447,3,6,2,35,63,0,0,0,0,12,3883.395249548,0.998815651,1
337.899495089,1,5,1,29,63,0,0,0,0,12,3883.580835983,0.998863384,0
338.343628029,5,8,2,8,63,0,0,0,0,12,3883.622223813,0.998874029,1
339.343628029,5,8,0,9,63,0,0,0,0,12,3883.483812764,0.998838429,1
340.795330447,7,6,7,38,63,0,0,0,0,12,3885.456025760,0.999345686,0
341.899494844,2,5,2,33,63,0,0,0,0,12,3885.359152119,0.999320770,0
342.098559366,3,7,0,1,63,0,0,0,0,12,3883.038835327,0.998723980,1
342.098559851,0,7,0,1,63,0,0,0,0,12,3883.324040203,0.998797335,0
342.398591956,6,3,8,35,63,0,0,0,0,12,3882.781609482,0.998657821,1
343.098559121,6,7,6,2,63,0,0,0,0,12,3882.650868915,0.998624195,0
343.343628029,5,8,2,13,63,0,0,0,0,12,3883.129145142,0.998747208,1
344.098559121,4,7,4,3,63,0,0,0,0,12,3884.040307451,0.998981561,0
344.600487660,6,4,6,15,63,0,0,0,0,12,3882.558065405,0.998600325,0
345.098559366,5,7,5,4,63,0,0,0,0,12,3882.920060164,0.998693431,0
345.365923503,6,3,6,38,63,0,0,0,0,12,3882.481388677,0.998580604,0
345.899495089,1,5,1,37,63,0,0,0,0,12,3883.027920958,0.998721173,0
346.098559121,4,7,4,5,63,0,0,0,0,12,3883.896136402,0.998944480,0
346.600487415,3,4,3,17,63,0,0,0,0,12,3882.632777952,0.998619542,0
347.098559121,6,7,6,6,63,0,0,0,0,12,3882.326873062,0.998540862,0
348.098559366,5,7,2,7,63,0,0,0,0,12,3882.691919005,0.998634753,1
348.238335956,2,7,2,7,62,1,0,0,0,12,3885.257275177,0.999294567,0
349.098559366,5,7,5,8,63,0,0,0,0,12,3882.559450249,0.998600682,0
350.098559123,8,7,8,9,63,0,0,0,0,12,3883.926827986,0.998952373,0
352.098559121,4,7,4,11,63,0,0,0,0,12,3883.451738670,0.998830180,0
352.899494844,2,5,2,44,63,0,0,0,0,12,3885.194773147,0.999278491,0
353.098559366,5,7,5,12,63,0,0,0,0,12,3882.277050443,0.998528048,0
354.098559121,6,7,6,13,63,0,0,0,0,12,3881.810389806,0.998408022,0
354.600487661,8,4,8,25,63,0,0,0,0,12,3883.569269255,0.998860409,0
355.098559366,3,7,1,14,63,0,0,0,0,12,3882.005686521,0.998458253,1
355.398591956,6,3,7,48,63,0,0,0,0,12,3881.724691507,0.998385980,1
355.600487415,5,4,5,26,63,0,0,0,0,12,3882.118103704,0.998487167,0
356.343628029,5,8,0,26,63,0,0,0,0,12,3882.047497689,0.998469007,1
357.795330447,7,6,7,55,63,0,0,0,0,12,3884.273128198,0.999041442,0
357.899494846,8,5,7,49,63,0,0,0,0,12,3883.339405815,0.998801288,1
358.098559121,6,7,6,17,63,0,0,0,0,12,3881.449779891,0.998315273,0
358.365923503,6,3,5,51,63,0,0,0,0,12,3881.442297580,0.998313348,1
359.098559366,5,7,5,18,63,0,0,0,0,12,3881.766327187,0.998396689,0
360.098559121,4,7,4,19,63,0,0,0,0,12,3882.886939059,0.998684912,0
360.343628029,7,8,6,30,63,0,0,0,0,12,3884.065415723,0.998988018,1
360.899495089,1,5,1,52,63,0,0,0,0,12,3881.952580383,0.998444594,0
361.098559366,3,7,3,20,63,0,0,0,0,12,3881.500905558,0.998328422,0
361.343628029,5,8,1,31,63,0,0,0,0,12,3881.602917665,0.998354660,1
361.625836453,0,1,0,54,63,0,0,0,0,12,3881.890994893,0.998428754,0
361.899494846,8,5,7,53,63,0,0,0,0,12,3882.978795900,0.998708538,1
362.600487661,8,4,8,33,63,0,0,0,0,12,3882.848049425,0.998674910,0
363.098559366,5,7,5,22,63,0,0,0,0,12,3881.393832687,0.998300883,0
363.365923748,7,3,7,56,63,0,0,0,0,12,3883.776762910,0.998913776,0
363.899494846,8,5,7,55,63,0,0,0,0,12,3882.768299327,0.998654398,1
365.098559121,4,7,4,24,63,0,0,0,0,12,3882.544338314,0.998596795,0
366.098559366,3,7,0,25,63,0,0,0,0,12,3881.122651058,0.998231135,1
366.238335956,0,7,0,25,62,1,0,0,0,12,3881.611009383,0.998356741,0
366.505816789,5,2,8,11,63,0,0,0,0,12,3881.151461141,0.998238545,1
367.098559121,4,7,4,26,63,0,0,0,0,12,3882.365551969,0.998550811,0
367.795330447,7,6,7,65,63,0,0,0,0,12,3883.485947429,0.998838978,0
367.899494844,4,5,6,59,63,0,0,0,0,12,3882.294613055,0.998532565,1
369.098559366,5,7,5,28,63,0,0,0,0,12,3880.867684151,0.998165557,0
369.343628029,5,8,1,39,63,0,0,0,0,12,3880.860330263,0.998163665,1
369.625836698,5,1,5,62,63,0,0,0,0,12,3880.792379216,0.998146188,0
370.098559366,3,7,3,29,63,0,0,0,0,12,3880.757361350,0.998137181,0
370.795330447,3,6,3,68,63,0,0,0,0,12,3880.681080132,0.998117562,0
372.098559366,3,7,1,31,63,0,0,0,0,12,3880.540922484,0.998081513,1
373.098559366,5,7,0,32,63,0,0,0,0,12,3880.478401232,0.998065432,1
373.795330447,7,6,7,71,63,0,0,0,0,12,3882.984427731,0.998709987,0
374.098559366,5,7,0,33,63,0,0,0,0,12,3880.345932476,0.998031361,1
374.098559851,0,7,0,33,63,0,0,0,0,12,3880.996594607,0.998198713,0
374.600487661,8,4,8,45,63,0,0,0,0,12,3881.842887861,0.998416381,0
375.899495089,1,5,1,67,63,0,0,0,0,12,3880.823658537,0.998154233,0
376.098559712,1,7,1,35,63,0,0,0,0,12,3880.816569632,0.998152410,0
376.343628029,7,8,7,46,63,0,0,0,0,12,3882.764830671,0.998653506,0
376.600487660,6,4,6,47,63,0,0,0,0,12,3880.027040949,0.997949342,0
376.899494846,8,5,8,68,63,0,0,0,0,12,3881.685109946,0.998375800,0
377.098559366,5,7,5,36,63,0,0,0,0,12,3880.069292671,0.997960209,0
377.343628029,5,8,1,47,63,0,0,0,0,12,3880.061938783,0.997958318,1
377.899495089,1,5,1,69,63,0,0,0,0,12,3880.679487488,0.998117152,0
378.098559366,5,7,2,37,63,0,0,0,0,12,3879.924939329,0.997923081,1
378.238335956,2,7,2,37,62,1,0,0,0,12,3883.549102295,0.998855222,0
379.098559121,4,7,4,38,63,0,0,0,0,12,3881.414854477,0.998306290,0
380.098559121,4,7,4,39,63,0,0,0,0,12,3881.342768952,0.998287749,0
380.795330447,3,6,2,78,63,0,0,0,0,12,3879.821631546,0.997896510,1
381.098559366,5,7,2,40,63,0,0,0,0,12,3879.648299524,0.997851929,1
381.098559851,2,7,2,40,63,0,0,0,0,12,3883.327708540,0.998798279,0
381.899494846,8,5,7,73,63,0,0,0,0,12,3881.306855446,0.998278512,1
384.098559366,5,7,2,43,63,0,0,0,0,12,3879.365717426,0.997779248,1
384.795330447,3,6,3,82,63,0,0,0,0,12,3879.472906216,0.997806817,0
