timestamp(s),nodeId,src,seq,dst,ttl,hops,rssi(dBm),battery(mV),score,sf,energyJ,energyFrac,forwarded,ok
3.205627681,2,2,1,65535,63,0,0,4200,0,7,3887.964707169,0.999990923,0,1
6.060164480,4,4,1,65535,63,0,0,4200,0,8,3887.929604572,0.999981894,0,1
6.422851395,0,0,1,65535,63,0,0,4200,0,8,3887.922907495,0.999980172,0,1
7.769219712,6,6,1,65535,63,0,0,4200,0,7,3887.937152941,0.999983836,0,1
7.931177313,1,1,1,65535,63,0,0,4200,0,7,3887.922752079,0.999980132,0,1
8.129722679,8,8,1,65535,63,0,0,4200,0,7,3887.939212493,0.999984365,0,1
10.179680522,5,5,1,65535,63,0,0,4200,0,7,3887.916050900,0.999978408,0,1
11.000395817,3,3,1,65535,63,0,0,4200,0,7,3887.906617890,0.999975982,0,1
12.847284098,7,7,1,65535,63,0,0,4200,0,7,3887.900397964,0.999974382,0,1
63.205627681,2,2,2,65535,63,0,0,4200,0,7,3887.582660100,0.999892659,0,1
66.060164480,4,4,2,65535,63,0,0,4200,0,7,3887.530746045,0.999879307,0,1
66.422851395,0,0,2,65535,63,0,0,4200,0,7,3887.532136562,0.999879665,0,1
67.769219712,6,6,2,65535,63,0,0,4200,0,8,3887.541849302,0.999882163,0,1
67.931177313,1,1,2,65535,63,0,0,4200,0,7,3887.532484247,0.999879754,0,1
68.129722679,8,8,2,65535,63,0,0,4200,0,8,3887.522483773,0.999877182,0,1
70.179680522,5,5,2,65535,63,0,0,4200,0,8,3887.486298498,0.999867875,0,1
71.000395817,3,3,2,65535,63,0,0,4200,0,7,3887.505414721,0.999872792,0,1
72.847284098,7,7,2,65535,63,0,0,4200,0,8,3887.469886164,0.999863654,0,1
123.205627681,2,2,3,65535,63,0,0,4200,0,7,3887.176397439,0.999788168,0,1
126.060164480,4,4,3,65535,63,0,0,4200,0,7,3887.119680189,0.999773580,0,1
126.422851395,0,0,3,65535,63,0,0,4200,0,7,3887.136495986,0.999777905,0,1
127.769219712,6,6,3,65535,63,0,0,4200,0,8,3887.116140697,0.999772670,0,1
127.931177313,1,1,3,65535,63,0,0,4200,0,8,3887.087050268,0.999765188,0,1
128.129722679,8,8,3,65535,63,0,0,4200,0,8,3887.087671880,0.999765348,0,1
130.179680522,5,5,3,65535,63,0,0,4200,0,8,3887.057808596,0.999757667,0,1
131.000395817,3,3,3,65535,63,0,0,4200,0,7,3887.096370763,0.999767585,0,1
132.847284098,7,7,3,65535,63,0,0,4200,0,7,3887.063623503,0.999759162,0,1
183.205627681,2,2,4,65535,63,0,0,4200,0,8,3886.757770224,0.999680496,0,1
186.060164480,4,4,4,65535,63,0,0,4200,0,7,3886.697232850,0.999664926,0,1
186.422851395,0,0,4,65535,63,0,0,4200,0,8,3886.710787380,0.999668412,0,1
187.769219712,6,6,4,65535,63,0,0,4200,0,7,3886.718981324,0.999670520,0,1
187.931177313,1,1,4,65535,63,0,0,4200,0,8,3886.661341663,0.999655695,0,1
188.129722679,8,8,4,65535,63,0,0,4200,0,7,3886.691271905,0.999663393,0,1
190.179680522,5,5,4,65535,63,0,0,4200,0,7,3886.661408622,0.999655712,0,1
191.000395817,3,3,4,65535,63,0,0,4200,0,8,3886.664340166,0.999656466,0,1
192.847284098,7,7,4,65535,63,0,0,4200,0,7,3886.656601443,0.999654476,0,1
243.205627681,2,2,5,65535,63,0,0,4200,0,8,3886.328520923,0.999570093,0,1
246.060164480,4,4,5,65535,63,0,0,4199,0,7,3886.281107502,0.999557898,0,1
246.422851395,0,0,5,65535,63,0,0,4199,0,8,3886.288619470,0.999559830,0,1
247.769219712,6,6,5,65535,63,0,0,4199,0,8,3886.286950727,0.999559401,0,1
247.931177313,1,1,5,65535,63,0,0,4199,0,8,3886.239173752,0.999547113,0,1
248.129722679,8,8,5,65535,63,0,0,4199,0,8,3886.271885291,0.999555526,0,1
250.179680522,5,5,5,65535,63,0,0,4199,0,7,3886.246042672,0.999548879,0,1
251.000395817,3,3,5,65535,63,0,0,4199,0,7,3886.274262183,0.999556137,0,1
252.847284098,7,7,5,65535,63,0,0,4199,0,7,3886.256660774,0.999551610,0,1
303.205627681,2,2,6,65535,63,0,0,4199,0,7,3885.922258262,0.999465601,0,1
303.655553857,6,6,1,7,63,0,0,4199,48,8,3885.891258828,0.999457628,0,1
304.655553857,6,6,2,0,63,0,0,4199,48,8,3885.825115596,0.999440616,0,1
304.795330447,3,6,2,0,62,1,0,4199,48,8,3885.885054153,0.999456032,1,1
305.655553857,6,6,3,3,63,0,0,4199,48,8,3885.753030072,0.999422076,0,1
306.060164480,4,4,6,65535,63,0,0,4199,0,7,3885.843614582,0.999445374,0,1
306.241123005,0,0,1,1,63,0,0,4199,48,8,3885.866738916,0.999451322,0,1
306.422851395,0,0,6,65535,63,0,0,4199,0,7,3885.831076865,0.999442149,0,1
306.655553857,6,6,4,2,63,0,0,4199,48,8,3885.673863157,0.999401714,0,1
306.795330692,4,6,4,2,62,1,0,4199,48,8,3885.767112207,0.999425698,1,1
307.241123005,0,0,2,7,63,0,0,4199,48,8,3885.760038096,0.999423878,0,1
307.655553857,6,6,5,0,63,0,0,4199,48,8,3885.595835340,0.999381645,0,1
307.815809857,6,6,6,65535,63,0,0,4199,0,7,3885.560296970,0.999372504,0,1
307.931177313,1,1,6,65535,63,0,0,4199,0,8,3885.780972388,0.999429262,0,1
308.129722679,8,8,6,65535,63,0,0,4199,0,7,3885.863980431,0.999450612,0,1
308.226146913,3,3,1,6,63,0,0,4199,48,8,3885.752311586,0.999421891,0,1
308.241123005,0,0,3,5,63,0,0,4199,48,8,3885.681630580,0.999403712,0,1
308.486059863,1,1,1,6,63,0,0,4199,48,8,3885.717393032,0.999412910,0,1
308.625836453,4,1,1,6,62,1,0,4199,48,8,3885.664955003,0.999399423,1,1
308.655553857,6,6,6,5,63,0,0,4199,48,8,3885.489134520,0.999354201,0,1
309.226146913,3,3,2,0,63,0,0,4199,48,8,3885.680226062,0.999403350,0,1
309.241123005,0,0,4,1,63,0,0,4199,48,8,3885.609545055,0.999385171,0,1
309.486059863,1,1,2,6,63,0,0,4199,48,8,3885.639365216,0.999392841,0,1
309.625836453,4,1,2,6,62,1,0,4199,48,8,3885.592869478,0.999380882,1,1
309.655553857,6,6,7,3,63,0,0,4199,48,8,3885.411106703,0.999334132,0,1
309.759718254,5,5,1,1,63,0,0,4199,48,8,3885.805305871,0.999435521,0,1
310.179680522,5,5,6,65535,63,0,0,4199,0,7,3885.768271593,0.999425996,0,1
310.226146913,3,3,3,2,63,0,0,4199,48,8,3885.614082830,0.999386338,0,1
310.241123005,0,0,5,7,63,0,0,4199,48,8,3885.531517238,0.999365102,0,1
310.486059863,1,1,3,8,63,0,0,4199,48,8,3885.569681288,0.999374918,0,1
310.625836698,5,1,3,8,62,1,0,4199,48,8,3885.699376208,0.999408276,1,1
310.655553857,6,6,8,5,63,0,0,4199,48,8,3885.335480483,0.999314681,0,1
310.786092698,5,5,2,0,63,0,0,4199,48,8,3885.638069902,0.999392508,0,1
311.000395817,3,3,6,65535,63,0,0,4199,0,7,3885.569065568,0.999374760,0,1
311.226146913,3,3,4,1,63,0,0,4199,48,8,3885.507382009,0.999358895,0,1
311.241123005,0,0,6,7,63,0,0,4199,48,8,3885.455891019,0.999345651,0,1
311.486059863,1,1,4,4,63,0,0,4199,48,8,3885.488112776,0.999353938,0,1
311.655553857,6,6,9,8,63,0,0,4199,48,8,3885.259854264,0.999295230,0,1
311.759718254,5,5,3,6,63,0,0,4199,48,8,3885.566136294,0.999374006,0,1
312.226146913,3,3,5,2,63,0,0,4199,48,8,3885.429354193,0.999338826,0,1
312.241123005,0,0,7,6,63,0,0,4199,48,8,3885.383805494,0.999327110,0,1
312.486059863,1,1,5,2,63,0,0,4199,48,8,3885.416027252,0.999335398,0,1
312.625836453,4,1,5,2,62,1,0,4199,48,8,3885.484355686,0.999352972,1,1
312.655553857,6,6,10,3,63,0,0,4199,48,8,3885.187768739,0.999276689,0,1
312.759718254,5,5,4,4,63,0,0,4199,48,8,3885.494050770,0.999355466,0,1
312.847284098,7,7,6,65535,63,0,0,4199,0,7,3885.783390696,0.999429884,0,1
313.226146913,3,3,6,5,63,0,0,4199,48,8,3885.357268668,0.999320285,0,1
313.241123005,0,0,8,2,63,0,0,4199,48,8,3885.311719970,0.999308570,0,1
313.365923503,6,3,6,5,62,1,0,4199,48,8,3885.113810791,0.999257667,1,1
313.486059863,1,1,6,5,63,0,0,4199,48,8,3885.343941728,0.999316857,0,1
313.655553857,6,6,11,8,63,0,0,4199,48,8,3885.051759288,0.999241708,0,1
313.759718254,5,5,5,2,63,0,0,4199,48,8,3885.427907538,0.999338454,0,1
314.226146913,3,3,7,2,63,0,0,4199,48,8,3885.285183144,0.999301745,0,1
314.241123005,0,0,9,4,63,0,0,4199,48,8,3885.239634445,0.999290029,0,1
314.486059863,1,1,7,0,63,0,0,4199,48,8,3885.271856203,0.999298317,0,1
314.625836698,3,1,7,0,62,1,0,4199,48,8,3885.216555406,0.999284093,1,1
314.655553857,6,6,12,5,63,0,0,4199,48,8,3884.979673763,0.999223167,0,1
314.759718254,5,5,6,1,63,0,0,4199,48,8,3885.355822013,0.999319913,0,1
315.226146913,3,3,8,8,63,0,0,4199,48,8,3885.152714387,0.999267673,0,1
315.241123005,0,0,10,7,63,0,0,4199,48,8,3885.161606628,0.999269961,0,1
315.365923503,6,3,8,8,62,1,0,4199,48,8,3884.909256510,0.999205056,1,1
315.486059863,1,1,8,7,63,0,0,4199,48,8,3885.199770679,0.999279776,0,1
315.655553857,6,6,13,3,63,0,0,4199,48,8,3884.847205007,0.999189096,0,1
315.759718254,5,5,7,7,63,0,0,4199,48,8,3885.283736489,0.999301373,0,1
315.899494846,8,5,7,7,62,1,0,4199,48,8,3885.695879692,0.999407376,1,1
316.226146913,3,3,9,0,63,0,0,4199,48,8,3885.086571155,0.999250661,0,1
316.241123005,0,0,11,7,63,0,0,4199,48,8,3885.089521104,0.999251420,0,1
316.486059863,1,1,9,3,63,0,0,4199,48,8,3885.133627447,0.999262764,0,1
316.655553857,6,6,14,0,63,0,0,4199,48,8,3884.781061775,0.999172084,0,1
316.759718254,5,5,8,8,63,0,0,4199,48,8,3885.205708672,0.999281304,0,1
317.226146913,3,3,10,5,63,0,0,4199,48,8,3885.014485631,0.999232121,0,1
317.241123005,0,0,12,5,63,0,0,4199,48,8,3885.017435579,0.999232880,0,1
317.365923503,6,3,10,5,62,1,0,4199,48,8,3884.710644521,0.999153972,1,1
317.486059863,1,1,10,0,63,0,0,4199,48,8,3885.067484215,0.999245752,0,1
317.655553857,6,6,15,0,63,0,0,4199,48,8,3884.648593018,0.999138013,0,1
317.759718254,5,5,9,3,63,0,0,4199,48,8,3885.133623147,0.999262763,0,1
318.226146913,3,3,11,0,63,0,0,4199,48,8,3884.948342399,0.999215109,0,1
318.241123005,0,0,13,1,63,0,0,4199,48,8,3884.945350055,0.999214339,0,1
318.486059863,1,1,11,6,63,0,0,4199,48,8,3884.995398690,0.999227212,0,1
318.625836453,4,1,11,6,62,1,0,4199,48,8,3885.332391127,0.999313887,1,1
318.655553857,6,6,16,0,63,0,0,4199,48,8,3884.582449786,0.999121000,0,1
318.759718254,5,5,10,7,63,0,0,4199,48,8,3885.061537623,0.999244223,0,1
319.226146913,3,3,12,4,63,0,0,4199,48,8,3884.876256874,0.999196568,0,1
319.241123005,0,0,14,6,63,0,0,4199,48,8,3884.867322238,0.999194270,0,1
319.486059863,1,1,12,5,63,0,0,4199,48,8,3884.917370873,0.999207143,0,1
319.655553857,6,6,17,4,63,0,0,4199,48,8,3884.510364262,0.999102460,0,1
319.759718254,5,5,11,8,63,0,0,4199,48,8,3884.989452098,0.999225682,0,1
320.226146913,3,3,13,7,63,0,0,4199,48,8,3884.798229057,0.999176499,0,1
320.241123005,0,0,15,8,63,0,0,4199,48,8,3884.801179006,0.999177258,0,1
320.380899595,1,0,15,8,62,1,0,4199,48,8,3884.845891072,0.999188758,1,1
320.520676430,5,0,15,8,61,2,0,4199,48,8,3884.912801162,0.999205967,1,1
320.541155595,1,1,13,0,63,0,0,4199,48,8,3884.784584765,0.999172990,0,1
320.655553857,6,6,18,1,63,0,0,4199,48,8,3884.438278737,0.999083919,0,1
320.759718254,5,5,12,8,63,0,0,4199,48,8,3884.851041049,0.999190083,0,1
321.226146913,3,3,14,8,63,0,0,4199,48,8,3884.726143533,0.999157959,0,1
321.241123005,0,0,16,6,63,0,0,4199,48,8,3884.735035774,0.999160246,0,1
321.486059863,1,1,14,6,63,0,0,4199,48,8,3884.712816592,0.999154531,0,1
321.655553857,6,6,19,3,63,0,0,4199,48,8,3884.366193213,0.999065379,0,1
321.759718254,5,5,13,1,63,0,0,4199,48,8,3884.778955525,0.999171542,0,1
322.226146913,3,3,15,0,63,0,0,4199,48,8,3884.648115716,0.999137890,0,1
322.241123005,0,0,17,7,63,0,0,4199,48,8,3884.662950250,0.999141705,0,1
322.486059863,1,1,15,4,63,0,0,4199,48,8,3884.640731068,0.999135991,0,1
322.655553857,6,6,20,1,63,0,0,4199,48,8,3884.300049981,0.999048367,0,1
322.759718254,5,5,14,2,63,0,0,4199,48,8,3884.706870000,0.999153002,0,1
323.226146913,3,3,16,5,63,0,0,4199,48,8,3884.570087899,0.999117821,0,1
323.241123005,0,0,18,6,63,0,0,4199,48,8,3884.590864725,0.999123165,0,1
323.365923503,6,3,16,5,62,1,0,4199,48,8,3884.229632727,0.999030255,1,1
323.486059863,1,1,16,5,63,0,0,4199,48,8,3884.568645543,0.999117450,0,1
323.655553857,6,6,21,7,63,0,0,4199,48,8,3884.167581225,0.999014296,0,1
323.759718254,5,5,15,6,63,0,0,4199,48,8,3884.634784476,0.999134461,0,1
324.226146913,3,3,17,6,63,0,0,4199,48,8,3884.492060082,0.999097752,0,1
324.241123005,0,0,19,3,63,0,0,4199,48,8,3884.518779201,0.999104624,0,1
324.486059863,1,1,17,4,63,0,0,4199,48,8,3884.502502311,0.999100438,0,1
324.655553857,6,6,22,0,63,0,0,4199,48,8,3884.089553408,0.998994227,0,1
324.759718254,5,5,16,3,63,0,0,4199,48,8,3884.556756659,0.999114392,0,1
325.226146913,3,3,18,5,63,0,0,4199,48,8,3884.419974557,0.999079212,0,1
325.241123005,0,0,20,3,63,0,0,4199,48,8,3884.446693676,0.999086084,0,1
325.365923503,6,3,18,5,62,1,0,4199,48,8,3884.019136154,0.998976115,1,1
325.486059863,1,1,18,4,63,0,0,4199,48,8,3884.436359079,0.999083426,0,1
325.655553857,6,6,23,4,63,0,0,4199,48,8,3883.957084651,0.998960156,0,1
325.759718254,5,5,17,2,63,0,0,4199,48,8,3884.484671135,0.999095852,0,1
326.226146913,3,3,19,4,63,0,0,4199,48,8,3884.347889033,0.999060671,0,1
326.241123005,0,0,21,7,63,0,0,4199,48,8,3884.374608152,0.999067543,0,1
326.486059863,1,1,19,6,63,0,0,4199,48,8,3884.364273555,0.999064885,0,1
326.625836453,4,1,19,6,62,1,0,4199,48,8,3885.178389555,0.999274277,1,1
326.655553857,6,6,24,8,63,0,0,4199,48,8,3883.890941419,0.998943143,0,1
326.759718254,5,5,18,7,63,0,0,4199,48,8,3884.412585610,0.999077311,0,1
327.226146913,3,3,20,6,63,0,0,4199,48,8,3884.275803508,0.999042131,0,1
327.241123005,0,0,22,7,63,0,0,4199,48,8,3884.296580335,0.999047474,0,1
