timestamp(s),src,dst,seq,hops,delay_gen_to_rx(s),delay_first_tx_to_rx(s),bytes,sf,delivered
134.740308598,5,0,3,0,0.139777320,0.139777320,20,12,1
150.633247551,1,0,1,0,0.139776590,0.139776590,20,12,1
152.284526178,2,7,1,0,0.139777320,0.139777320,20,12,1
155.425340909,4,7,1,0,0.139776590,0.139776590,20,12,1
159.174904380,7,3,1,0,0.139776835,0.139776835,20,12,1
160.633248142,1,7,2,0,0.139777181,0.139777181,20,12,1
164.353066497,6,1,1,0,0.139777320,0.139777320,20,12,1
164.740307868,5,4,6,0,0.139776590,0.139776590,20,12,1
169.174904135,7,4,2,0,0.139776590,0.139776590,20,12,1
169.404519306,3,1,1,0,0.139776835,5.051453539,20,12,1
170.633247796,1,5,3,0,0.139776835,0.139776835,20,12,1
172.284525448,2,1,3,0,0.139776590,0.139776590,20,12,1
175.425341154,4,0,3,0,0.139776835,40.685033286,20,12,1
180.633247796,1,5,4,0,0.139776835,0.139776835,20,12,1
182.017717472,0,3,1,0,0.139776590,0.139776590,20,12,1
184.492842359,6,8,3,1,0.279553182,0.279553182,20,12,1
189.174904135,7,6,4,0,0.139776590,0.139776590,20,12,1
189.404519061,3,4,3,0,0.139776590,0.139776590,20,12,1
192.157494552,0,6,2,1,0.279553670,0.279553670,20,12,1
194.353065767,6,3,4,0,0.139776590,0.139776590,20,12,1
194.740308113,5,1,9,0,0.139776835,0.139776835,20,12,1
195.425340909,4,5,5,0,0.139776590,0.139776590,20,12,1
199.404519306,3,7,4,0,0.139776835,0.139776835,20,12,1
200.633247551,1,4,6,0,0.139776590,0.139776590,20,12,1
202.017718063,0,6,3,0,0.139777181,0.139777181,20,12,1
202.284525693,2,4,6,0,0.139776835,0.139776835,20,12,1
204.353065767,6,3,5,0,0.139776590,0.139776590,20,12,1
205.425340909,4,7,6,0,0.139776590,0.139776590,20,12,1
210.633247796,1,3,7,0,0.139776835,0.139776835,20,12,1
212.017717717,0,4,4,0,0.139776835,0.139776835,20,12,1
214.353066358,6,0,6,0,0.139777181,5.178162223,20,12,1
215.425341155,4,8,7,0,0.139776836,0.139776836,20,12,1
220.633247796,1,3,8,0,0.139776835,0.139776835,20,12,1
222.017717472,0,1,5,0,0.139776590,0.139776590,20,12,1
224.353065767,6,3,7,0,0.139776590,0.139776590,20,12,1
225.425340909,4,7,8,0,0.139776590,0.139776590,20,12,1
230.633247796,1,5,9,0,0.139776835,0.139776835,20,12,1
232.017717717,0,4,6,0,0.139776835,0.139776835,20,12,1
235.425340909,4,1,9,0,0.139776590,0.139776590,20,12,1
240.773024141,1,7,10,1,0.279553180,0.279553180,20,12,1
244.492842357,6,4,9,1,0.279553180,0.279553180,20,12,1
245.425341154,4,0,10,0,0.139776835,0.139776835,20,12,1
249.404519792,3,8,9,0,0.139777321,0.139777321,20,12,1
252.157494307,0,5,8,1,0.279553425,0.279553425,20,12,1
254.740307868,5,2,15,0,0.139776590,0.139776590,20,12,1
259.174904380,7,3,11,0,0.139776835,0.139776835,20,12,1
260.633247551,1,4,12,0,0.139776590,0.139776590,20,12,1
262.017717472,0,3,9,0,0.139776590,0.139776590,20,12,1
264.492843087,6,2,11,1,0.279553910,0.279553910,20,12,1
265.425341154,4,6,12,0,0.139776835,0.139776835,20,12,1
269.314681215,7,1,12,1,0.279553670,0.279553670,20,12,1
270.633248282,1,8,13,0,0.139777321,0.139777321,20,12,1
272.017717472,0,3,10,0,0.139776590,0.139776590,20,12,1
272.284525693,2,4,13,0,0.139776835,0.139776835,20,12,1
274.740308113,5,1,17,0,0.139776835,0.139776835,20,12,1
275.425340909,4,7,13,0,0.139776590,0.139776590,20,12,1
279.174904865,7,2,13,0,0.139777320,0.139777320,20,12,1
280.633247796,1,5,14,0,0.139776835,0.139776835,20,12,1
282.157494552,0,6,11,1,0.279553670,0.279553670,20,12,1
284.740307868,5,2,18,0,0.139776590,0.139776590,20,12,1
285.425341154,4,2,14,0,0.139776835,0.139776835,20,12,1
289.174904380,7,3,14,0,0.139776835,0.139776835,20,12,1
292.284526178,2,3,15,0,0.139777320,0.139777320,20,12,1
294.353066012,6,4,14,0,0.139776835,0.139776835,20,12,1
295.425340909,4,3,15,0,0.139776590,0.139776590,20,12,1
299.174904135,7,4,15,0,0.139776590,0.139776590,20,12,1
299.404519306,3,7,14,0,0.139776835,0.139776835,20,12,1
300.633247551,1,2,16,0,0.139776590,0.139776590,20,12,1
302.284526039,2,8,16,0,0.139777181,0.139777181,20,12,1
305.425340909,4,7,16,0,0.139776590,0.139776590,20,12,1
309.404519061,3,4,15,0,0.139776590,0.139776590,20,12,1
310.773024141,1,7,17,1,0.279553180,0.279553180,20,12,1
312.157494553,0,8,14,1,0.279553671,0.279553671,20,12,1
315.425341154,4,2,17,0,0.139776835,0.139776835,20,12,1
319.174904380,7,5,17,0,0.139776835,0.139776835,20,12,1
319.404519306,3,1,16,0,0.139776835,0.139776835,20,12,1
320.633247796,1,5,18,0,0.139776835,0.139776835,20,12,1
324.492843087,6,2,17,1,0.279553910,0.279553910,20,12,1
325.425341155,4,8,18,0,0.139776836,0.139776836,20,12,1
330.633248281,1,6,19,0,0.139777320,0.139777320,20,12,1
339.174904135,7,6,19,0,0.139776590,0.139776590,20,12,1
339.404519061,3,6,18,0,0.139776590,0.139776590,20,12,1
340.633247551,1,2,20,0,0.139776590,0.139776590,20,12,1
344.353066497,6,5,19,0,0.139777320,0.139777320,20,12,1
344.966226777,8,0,21,1,0.279553671,0.279553671,20,12,1
345.425341154,4,6,20,0,0.139776835,0.139776835,20,12,1
349.544296972,3,8,19,1,0.279554501,0.279554501,20,12,1
350.633247796,1,5,21,0,0.139776835,0.139776835,20,12,1
355.425341155,4,8,21,0,0.139776836,0.139776836,20,12,1
359.174904135,7,4,21,0,0.139776590,0.139776590,20,12,1
359.404519061,3,4,20,0,0.139776590,0.139776590,20,12,1
360.633247551,1,0,22,0,0.139776590,0.139776590,20,12,1
364.353066012,6,4,21,0,0.139776835,0.139776835,20,12,1
370.633247796,1,5,23,0,0.139776835,0.139776835,20,12,1
372.284526178,2,3,23,0,0.139777320,0.139777320,20,12,1
374.353066012,6,4,22,0,0.139776835,0.139776835,20,12,1
375.425340909,4,1,23,0,0.139776590,0.139776590,20,12,1
379.174904135,7,4,23,0,0.139776590,0.139776590,20,12,1
379.404519061,3,6,22,0,0.139776590,0.139776590,20,12,1
382.284526178,2,7,24,0,0.139777320,0.139777320,20,12,1
384.492842602,6,1,23,1,0.279553425,0.279553425,20,12,1
385.425340909,4,3,24,0,0.139776590,0.139776590,20,12,1
389.174904380,7,3,24,0,0.139776835,0.139776835,20,12,1
390.633247551,1,4,25,0,0.139776590,0.139776590,20,12,1
392.017717472,0,3,22,0,0.139776590,0.139776590,20,12,1
392.284526178,2,7,25,0,0.139777320,0.139777320,20,12,1
394.353066358,6,8,24,0,0.139777181,0.139777181,20,12,1
395.425341154,4,2,25,0,0.139776835,0.139776835,20,12,1
399.174904865,7,2,25,0,0.139777320,0.139777320,20,12,1
400.633247796,1,3,26,0,0.139776835,0.139776835,20,12,1
402.017718063,0,2,23,0,0.139777181,0.139777181,20,12,1
404.492843087,6,2,25,1,0.279553910,0.279553910,20,12,1
405.425340909,4,1,26,0,0.139776590,0.139776590,20,12,1
410.633247796,1,5,27,0,0.139776835,0.139776835,20,12,1
414.740308113,5,7,31,0,0.139776835,0.139776835,20,12,1
415.425340909,4,3,27,0,0.139776590,0.139776590,20,12,1
419.174904135,7,4,27,0,0.139776590,0.139776590,20,12,1
419.404519306,3,1,26,0,0.139776835,0.139776835,20,12,1
420.773024734,1,8,28,1,0.279553773,0.279553773,20,12,1
422.017717472,0,3,25,0,0.139776590,0.139776590,20,12,1
422.284525448,2,5,28,0,0.139776590,0.139776590,20,12,1
424.353066847,6,2,27,0,0.139777670,0.139777670,20,12,1
425.425340909,4,7,28,0,0.139776590,0.139776590,20,12,1
429.404519061,3,0,27,0,0.139776590,0.139776590,20,12,1
430.633247796,1,3,29,0,0.139776835,0.139776835,20,12,1
432.017717472,0,3,26,0,0.139776590,0.139776590,20,12,1
432.284525693,2,4,29,0,0.139776835,0.139776835,20,12,1
434.353065767,6,7,28,0,0.139776590,0.139776590,20,12,1
434.740307868,5,2,33,0,0.139776590,0.139776590,20,12,1
435.425341154,4,2,29,0,0.139776835,0.139776835,20,12,1
439.174904380,7,5,29,0,0.139776835,0.139776835,20,12,1
439.404519061,3,0,28,0,0.139776590,0.139776590,20,12,1
440.633247551,1,2,30,0,0.139776590,0.139776590,20,12,1
442.157495244,0,8,27,1,0.279554362,0.279554362,20,12,1
442.317751383,2,7,30,0,0.173002525,0.139777320,20,12,1
444.492843087,6,0,29,1,0.279553910,0.279553910,20,12,1
444.740308113,5,1,34,0,0.139776835,0.139776835,20,12,1
445.425340909,4,3,30,0,0.139776590,0.139776590,20,12,1
449.404519061,3,6,29,0,0.139776590,0.139776590,20,12,1
450.773024388,1,8,31,1,0.279553427,0.279553427,20,12,1
452.284525448,2,1,31,0,0.139776590,0.139776590,20,12,1
454.353065767,6,7,30,0,0.139776590,0.139776590,20,12,1
455.425340909,4,1,31,0,0.139776590,0.139776590,20,12,1
459.404519061,3,6,30,0,0.139776590,0.139776590,20,12,1
460.633247551,1,2,32,0,0.139776590,0.139776590,20,12,1
462.157494653,0,5,29,1,0.279553771,0.279553771,20,12,1
462.317751383,2,3,32,0,0.173002525,0.139777320,20,12,1
465.425341155,4,8,32,0,0.139776836,0.139776836,20,12,1
469.174904726,7,1,32,0,0.139777181,0.139777181,20,12,1
469.404519061,3,4,31,0,0.139776590,0.139776590,20,12,1
472.017717472,0,3,30,0,0.139776590,0.139776590,20,12,1
474.353065767,6,3,32,0,0.139776590,0.139776590,20,12,1
474.740307868,5,2,37,0,0.139776590,0.139776590,20,12,1
475.425341154,4,2,33,0,0.139776835,0.139776835,20,12,1
480.633247551,1,4,34,0,0.139776590,0.139776590,20,12,1
482.017717717,0,4,31,0,0.139776835,0.139776835,20,12,1
484.353065767,6,7,33,0,0.139776590,0.139776590,20,12,1
485.425341154,4,0,34,0,0.139776835,0.139776835,20,12,1
492.017718063,0,6,32,0,0.139777181,0.139777181,20,12,1
494.353066012,6,4,34,0,0.139776835,0.139776835,20,12,1
495.425340909,4,3,35,0,0.139776590,0.139776590,20,12,1
499.404519061,3,4,34,0,0.139776590,0.139776590,20,12,1
502.017717472,0,1,33,0,0.139776590,0.139776590,20,12,1
502.284526039,2,8,36,0,0.139777181,0.139777181,20,12,1
504.353066847,6,2,35,0,0.139777670,0.139777670,20,12,1
505.425341155,4,8,36,0,0.139776836,3.140815462,20,12,1
509.174904380,7,5,36,0,0.139776835,0.139776835,20,12,1
509.404519652,3,5,35,0,0.139777181,0.139777181,20,12,1
512.017717472,0,1,34,0,0.139776590,0.139776590,20,12,1
514.353066012,6,4,36,0,0.139776835,0.139776835,20,12,1
515.425340909,4,1,37,0,0.139776590,0.139776590,20,12,1
519.174904380,7,3,37,0,0.139776835,0.139776835,20,12,1
520.633247796,1,3,38,0,0.139776835,0.139776835,20,12,1
522.017717717,0,4,35,0,0.139776835,0.139776835,20,12,1
525.425341154,4,2,38,0,0.139776835,0.139776835,20,12,1
529.174904865,7,2,38,0,0.139777320,0.139777320,20,12,1
529.404519061,3,6,37,0,0.139776590,0.139776590,20,12,1
530.633248142,1,7,39,0,0.139777181,0.139777181,20,12,1
535.425341154,4,2,39,0,0.139776835,0.139776835,20,12,1
539.404519061,3,0,38,0,0.139776590,0.139776590,20,12,1
540.633247551,1,2,40,0,0.139776590,0.139776590,20,12,1
