timestamp(s),nodeId,kind,bytes,src,dst,seq,hops,sf
2.414766730,0,beacon,5,0,65535,1,0,7
2.807546093,1,beacon,5,1,65535,1,0,8
3.595940747,3,beacon,8,3,65535,1,0,8
8.473097285,2,beacon,11,2,65535,1,0,8
8.722219627,5,beacon,8,5,65535,1,0,7
8.970359947,8,beacon,11,8,65535,1,0,7
9.754940824,4,beacon,20,4,65535,1,0,8
11.363189829,6,beacon,26,6,65535,1,0,8
12.813150705,7,beacon,29,7,65535,1,0,7
62.414766730,0,beacon,23,0,65535,2,0,8
62.807546093,1,beacon,29,1,65535,2,0,8
63.595940747,3,beacon,29,3,65535,2,0,8
68.473097285,2,beacon,29,2,65535,2,0,8
68.722219627,5,beacon,29,5,65535,2,0,8
68.970359947,8,beacon,29,8,65535,2,0,7
69.754940824,4,beacon,29,4,65535,2,0,7
71.363189829,6,beacon,29,6,65535,2,0,7
72.813150705,7,beacon,29,7,65535,2,0,7
114.600531278,5,data,27,5,1,1,0,8
122.414766730,0,beacon,29,0,65535,3,0,8
122.807546093,1,beacon,29,1,65535,3,0,8
123.595940747,3,beacon,29,3,65535,3,0,7
124.600531278,5,data,27,5,3,2,0,8
124.740307868,4,data,27,5,3,2,1,8
128.473097285,2,beacon,29,2,65535,3,0,8
128.722219627,5,beacon,29,5,65535,3,0,7
128.970359947,8,beacon,29,8,65535,3,0,8
129.754940824,4,beacon,29,4,65535,3,0,7
131.363189829,6,beacon,29,6,65535,3,0,7
132.813150705,7,beacon,29,7,65535,3,0,8
134.600531278,5,data,27,5,0,3,0,8
134.740307868,4,data,27,5,0,3,1,8
144.600531278,5,data,27,5,6,4,0,8
144.686673106,8,data,27,8,7,1,0,8
150.493470961,1,data,27,1,0,1,0,8
152.144748858,2,data,27,2,7,1,0,8
152.284525448,1,data,27,2,7,1,1,8
154.600531278,5,data,27,5,2,5,0,8
154.686673106,8,data,27,8,0,2,0,8
155.285564319,4,data,27,4,7,1,0,8
159.035127545,7,data,27,7,3,1,0,8
160.493470961,1,data,27,1,7,2,0,8
162.144748858,2,data,27,2,7,2,0,8
162.284525448,1,data,27,2,7,2,1,8
164.213289177,6,data,27,6,1,1,0,8
164.353065767,3,data,27,6,1,1,1,8
164.600531278,5,data,27,5,4,6,0,8
164.686673106,8,data,27,8,4,3,0,8
165.285564319,4,data,27,4,6,2,0,8
169.035127545,7,data,27,7,4,2,0,8
169.264742471,3,data,27,3,1,1,0,8
170.493470961,1,data,27,1,5,3,0,8
172.144748858,2,data,27,2,1,3,0,8
174.213289177,6,data,27,6,8,2,0,8
174.353065767,7,data,27,6,8,2,1,8
174.600531278,5,data,27,5,1,7,0,8
174.686673106,8,data,27,8,1,4,0,8
175.285564319,4,data,27,4,0,3,0,8
179.035127545,7,data,27,7,0,3,0,8
179.174904135,6,data,27,7,0,3,1,8
179.264742471,3,data,27,3,4,2,0,8
180.493470961,1,data,27,1,5,4,0,8
181.877940882,0,data,27,0,3,1,0,8
182.144748858,2,data,27,2,6,4,0,8
182.284525448,1,data,27,2,6,4,1,8
182.414766730,0,beacon,29,0,65535,4,0,7
182.807546093,1,beacon,29,1,65535,4,0,7
183.595940747,3,beacon,29,3,65535,4,0,7
184.213289177,6,data,27,6,8,3,0,8
184.353065767,7,data,27,6,8,3,1,8
184.600531278,5,data,27,5,7,8,0,8
184.686673106,8,data,27,8,5,5,0,8
185.285564319,4,data,27,4,0,4,0,8
188.473097285,2,beacon,29,2,65535,4,0,7
188.722219627,5,beacon,29,5,65535,4,0,7
188.970359947,8,beacon,29,8,65535,4,0,7
189.035127545,7,data,27,7,6,4,0,8
189.264742471,3,data,27,3,4,3,0,8
189.754940824,4,beacon,29,4,65535,4,0,7
190.493470961,1,data,27,1,3,5,0,8
191.363189829,6,beacon,29,6,65535,4,0,8
191.877940882,0,data,27,0,6,2,0,8
192.017717717,4,data,27,0,6,2,1,8
192.144748858,2,data,27,2,7,5,0,8
192.813150705,7,beacon,29,7,65535,4,0,7
194.213289177,6,data,27,6,3,4,0,8
194.600531278,5,data,27,5,1,9,0,8
194.686673106,8,data,27,8,1,6,0,8
195.285564319,4,data,27,4,5,5,0,8
195.425341155,8,data,27,4,5,5,1,8
199.035127545,7,data,27,7,3,5,0,8
199.264742471,3,data,27,3,7,4,0,8
200.493470961,1,data,27,1,4,6,0,8
201.877940882,0,data,27,0,6,3,0,8
202.144748858,2,data,27,2,4,6,0,8
204.213289177,6,data,27,6,3,5,0,8
204.600531278,5,data,27,5,6,10,0,8
204.686673106,8,data,27,8,5,7,0,8
205.285564319,4,data,27,4,7,6,0,8
209.035127545,7,data,27,7,0,6,0,8
209.174904135,6,data,27,7,0,6,1,8
209.264742471,3,data,27,3,7,5,0,8
210.493470961,1,data,27,1,3,7,0,8
211.877940882,0,data,27,0,4,4,0,8
212.144748858,2,data,27,2,7,7,0,8
214.213289177,6,data,27,6,0,6,0,8
214.600531278,5,data,27,5,1,11,0,8
214.686673106,8,data,27,8,6,8,0,8
215.285564319,4,data,27,4,8,7,0,8
219.035127545,7,data,27,7,0,7,0,8
219.174904135,6,data,27,7,0,7,1,8
219.264742471,3,data,27,3,8,6,0,8
220.493470961,1,data,27,1,3,8,0,8
221.877940882,0,data,27,0,1,5,0,8
222.017717472,3,data,27,0,1,5,1,8
222.144748858,2,data,27,2,7,8,0,8
224.213289177,6,data,27,6,3,7,0,8
224.600531278,5,data,27,5,7,12,0,8
224.686673106,8,data,27,8,0,9,0,8
225.285564319,4,data,27,4,7,8,0,8
229.035127545,7,data,27,7,1,8,0,8
229.174904135,4,data,27,7,1,8,1,8
229.264742471,3,data,27,3,2,7,0,8
230.493470961,1,data,27,1,5,9,0,8
231.877940882,0,data,27,0,4,6,0,8
232.144748858,2,data,27,2,7,9,0,8
234.213289177,6,data,27,6,5,8,0,8
234.600531278,5,data,27,5,1,13,0,8
234.686673106,8,data,27,8,0,10,0,8
235.285564319,4,data,27,4,1,9,0,8
239.035127545,7,data,27,7,1,9,0,8
239.174904135,4,data,27,7,1,9,1,8
239.264742471,3,data,27,3,1,8,0,8
240.493470961,1,data,27,1,7,10,0,8
240.633247551,4,data,27,1,7,10,1,8
241.877940882,0,data,27,0,7,7,0,8
242.017717717,4,data,27,0,7,7,1,8
242.144748858,2,data,27,2,6,10,0,8
242.414766730,0,beacon,29,0,65535,5,0,7
242.807546093,1,beacon,29,1,65535,5,0,7
243.595940747,3,beacon,29,3,65535,5,0,8
244.213289177,6,data,27,6,4,9,0,8
244.353065767,3,data,27,6,4,9,1,8
244.600531278,5,data,27,5,3,14,0,8
244.686673106,8,data,27,8,4,11,0,8
245.285564319,4,data,27,4,0,10,0,8
248.473097285,2,beacon,29,2,65535,5,0,8
248.722219627,5,beacon,29,5,65535,5,0,7
248.970359947,8,beacon,29,8,65535,5,0,8
249.035127545,7,data,27,7,0,10,0,8
249.264742471,3,data,27,3,8,9,0,8
249.404519791,2,data,27,3,8,9,1,8
249.754940824,4,beacon,29,4,65535,5,0,7
250.493470961,1,data,27,1,7,11,0,8
250.633247551,4,data,27,1,7,11,1,8
251.363189829,6,beacon,29,6,65535,5,0,7
251.877940882,0,data,27,0,5,8,0,8
252.017717717,4,data,27,0,5,8,1,8
252.144748858,2,data,27,2,1,11,0,8
252.813150705,7,beacon,29,7,65535,5,0,8
254.213289177,6,data,27,6,2,10,0,8
254.353065767,3,data,27,6,2,10,1,8
254.600531278,5,data,27,5,2,15,0,8
