timestamp(s),nodeId,destination,nextHop,hops,score,seq,action
2.453935911,6,0,0,1,1,0,NEW
2.885882683,0,1,1,1,1,0,NEW
2.885882683,2,1,1,1,1,0,NEW
2.885882683,4,1,1,1,1,0,NEW
2.885882928,3,1,1,1,1,0,NEW
2.885882928,5,1,1,1,2,0,NEW
2.885883414,8,1,1,1,2,0,NEW
3.684517337,0,3,3,1,1,0,NEW
3.684517337,0,1,3,2,2,0,ADD_BACKUP
3.684517337,4,3,3,1,1,0,NEW
3.684517337,4,1,3,2,2,0,ADD_BACKUP
3.684517337,6,3,3,1,1,0,NEW
3.684517337,6,1,3,2,2,0,NEW
3.684517582,1,3,3,1,1,0,NEW
3.684517582,7,3,3,1,2,0,NEW
3.684517582,7,1,3,2,3,0,NEW
3.684518067,2,3,3,1,2,0,NEW
3.684518067,2,1,3,2,3,0,ADD_BACKUP
8.571913875,1,2,2,1,1,0,NEW
8.571913875,1,3,2,2,3,0,ADD_BACKUP
8.571914120,4,2,2,1,2,0,NEW
8.571914120,4,3,2,2,4,0,ADD_BACKUP
8.571914466,0,2,2,1,2,0,NEW
8.571914466,0,3,2,2,4,0,ADD_BACKUP
8.766508217,2,5,5,1,1,0,NEW
8.766508217,2,1,5,2,3,0,REPLACE_BACKUP
8.766508217,4,5,5,1,1,0,NEW
8.766508219,8,5,5,1,1,0,NEW
8.766508219,8,1,5,2,3,0,ADD_BACKUP
8.766508462,7,5,5,1,1,0,NEW
8.766508462,7,1,5,2,3,0,SWITCH_PRIMARY
9.019768539,5,8,8,1,1,0,NEW
9.019768539,5,1,8,2,3,0,ADD_BACKUP
9.019768539,7,8,8,1,1,0,NEW
9.019768539,7,5,8,2,2,0,ADD_BACKUP
9.019768539,7,1,8,2,3,0,SWITCH_PRIMARY
9.019768783,4,8,8,1,1,0,NEW
9.019768783,4,5,8,2,2,0,ADD_BACKUP
9.874237414,3,4,4,1,1,0,NEW
9.874237414,3,1,4,2,2,0,ADD_BACKUP
9.874237414,3,5,4,2,2,0,NEW
9.874237414,3,8,4,2,2,0,NEW
9.874237414,3,2,4,2,3,0,NEW
9.874237414,5,4,4,1,1,0,NEW
9.874237414,5,1,4,2,2,0,SWITCH_PRIMARY
9.874237414,5,3,4,2,2,0,NEW
9.874237414,5,8,4,2,2,0,ADD_BACKUP
9.874237414,5,2,4,2,3,0,NEW
9.874237414,7,4,4,1,1,0,NEW
9.874237414,7,1,4,2,2,0,SWITCH_PRIMARY
9.874237414,7,3,4,2,2,0,SWITCH_PRIMARY
9.874237414,7,8,4,2,2,0,ADD_BACKUP
9.874237414,7,2,4,2,3,0,NEW
9.874237659,0,4,4,1,2,0,NEW
9.874237659,0,3,4,2,3,0,REPLACE_BACKUP
9.874237659,0,5,4,2,3,0,NEW
9.874237659,0,8,4,2,3,0,NEW
9.874237659,0,2,4,2,4,0,ADD_BACKUP
9.874237659,2,4,4,1,1,0,NEW
9.874237659,2,1,4,2,2,0,REPLACE_BACKUP
9.874237659,2,3,4,2,2,0,SWITCH_PRIMARY
9.874237659,2,5,4,2,2,0,ADD_BACKUP
9.874237659,2,8,4,2,2,0,NEW
9.874237659,6,4,4,1,2,0,NEW
9.874237659,6,1,4,2,3,0,ADD_BACKUP
9.874237659,6,3,4,2,3,0,ADD_BACKUP
9.874237659,6,5,4,2,3,0,NEW
9.874237659,6,8,4,2,3,0,NEW
9.874237659,6,2,4,2,4,0,NEW
9.874237660,8,4,4,1,2,0,NEW
9.874237660,8,3,4,2,3,0,NEW
9.874237660,8,5,4,2,3,0,ADD_BACKUP
9.874237660,8,2,4,2,4,0,NEW
11.492726419,7,6,6,1,2,0,NEW
11.492726419,7,0,6,2,3,0,NEW
11.492726419,7,4,6,2,4,0,ADD_BACKUP
11.492726419,7,2,6,2,6,0,ADD_BACKUP
11.492726664,4,6,6,1,1,0,NEW
11.492726664,4,0,6,2,2,0,NEW
11.492726664,4,3,6,2,2,0,REPLACE_BACKUP
11.492726664,4,8,6,2,4,0,ADD_BACKUP
11.492726664,4,2,6,2,5,0,ADD_BACKUP
12.888159295,4,7,7,1,1,0,NEW
12.888159295,4,8,7,2,2,0,REPLACE_BACKUP
12.888159295,4,6,7,2,3,0,ADD_BACKUP
12.888159295,4,2,7,2,4,0,REPLACE_BACKUP
12.888159295,4,0,7,2,4,0,ADD_BACKUP
12.888159295,6,7,7,1,1,0,NEW
12.888159295,6,4,7,2,2,0,SWITCH_PRIMARY
12.888159295,6,5,7,2,2,0,SWITCH_PRIMARY
12.888159295,6,8,7,2,2,0,SWITCH_PRIMARY
12.888159295,6,1,7,2,3,0,REPLACE_BACKUP
12.888159295,6,3,7,2,3,0,REPLACE_BACKUP
12.888159295,6,2,7,2,4,0,SWITCH_PRIMARY
12.888159295,6,0,7,2,4,0,ADD_BACKUP
12.888159886,1,7,7,1,1,0,NEW
12.888159886,1,4,7,2,2,0,NEW
12.888159886,1,5,7,2,2,0,NEW
12.888159886,1,8,7,2,2,0,NEW
12.888159886,1,3,7,2,3,0,REPLACE_BACKUP
12.888159886,1,6,7,2,3,0,NEW
12.888159886,1,2,7,2,4,0,ADD_BACKUP
12.888159886,1,0,7,2,4,0,NEW
62.544303320,1,0,0,1,1,1,SWITCH_PRIMARY
62.544303320,1,3,0,2,2,1,REPLACE_BACKUP
62.544303320,1,2,0,2,3,1,REPLACE_BACKUP
62.544303320,1,4,0,2,3,1,ADD_BACKUP
62.544303320,1,5,0,2,4,1,ADD_BACKUP
62.544303320,1,8,0,2,4,1,ADD_BACKUP
62.544303565,4,0,0,1,1,1,SWITCH_PRIMARY
62.544303565,4,2,0,2,3,1,REPLACE_BACKUP
62.544303911,2,0,0,1,2,1,NEW
62.544303911,2,4,0,2,4,1,ADD_BACKUP
62.544303911,2,8,0,2,5,1,ADD_BACKUP
62.544304050,7,0,0,1,1,1,SWITCH_PRIMARY
62.544304050,7,1,0,2,2,1,SWITCH_PRIMARY
62.544304050,7,3,0,2,2,1,REPLACE_BACKUP
62.544304050,7,2,0,2,3,1,REPLACE_BACKUP
62.544304050,7,4,0,2,3,1,REPLACE_BACKUP
62.947322683,0,1,1,1,1,1,REFRESH
62.947322683,0,2,1,2,2,1,SWITCH_PRIMARY
62.947322683,0,3,1,2,2,1,REPLACE_BACKUP
62.947322683,0,7,1,2,2,1,NEW
62.947322683,0,4,1,2,3,1,ADD_BACKUP
62.947322683,0,5,1,2,3,1,SWITCH_PRIMARY
62.947322683,0,8,1,2,3,1,SWITCH_PRIMARY
62.947322683,0,6,1,2,4,1,NEW
62.947322683,2,1,1,1,1,1,REFRESH
62.947322683,2,0,1,2,2,1,SWITCH_PRIMARY
62.947322683,2,3,1,2,2,1,REPLACE_BACKUP
62.947322683,2,7,1,2,2,1,NEW
62.947322683,2,4,1,2,3,1,REPLACE_BACKUP
62.947322683,2,8,1,2,3,1,REPLACE_BACKUP
62.947322683,2,6,1,2,4,1,NEW
62.947322683,4,1,1,1,1,1,REFRESH
62.947322683,4,0,1,2,2,1,REPLACE_BACKUP
62.947322683,4,2,1,2,2,1,SWITCH_PRIMARY
62.947322683,4,7,1,2,2,1,ADD_BACKUP
62.947322928,3,1,1,1,1,1,REFRESH
62.947322928,3,0,1,2,2,1,NEW
62.947322928,3,2,1,2,2,1,SWITCH_PRIMARY
62.947322928,3,7,1,2,2,1,NEW
62.947322928,3,4,1,2,3,1,ADD_BACKUP
62.947322928,3,5,1,2,3,1,ADD_BACKUP
62.947322928,3,8,1,2,3,1,ADD_BACKUP
62.947322928,3,6,1,2,4,1,NEW
62.947322928,5,1,1,1,1,1,SWITCH_PRIMARY
62.947322928,5,0,1,2,2,1,NEW
62.947322928,5,2,1,2,2,1,SWITCH_PRIMARY
62.947322928,5,3,1,2,2,1,ADD_BACKUP
