timestamp(s),nodeId,destination,nextHop,hops,score,seq,action
114.600531278,5,1,1,1,1,1,USED
124.600531278,5,3,4,2,3,1,USED
134.600531278,5,0,4,2,2,2,USED
144.600531278,5,6,7,2,2,2,USED
144.686673106,8,7,7,1,1,2,USED
150.493470961,1,0,0,1,1,1,USED
152.144748858,2,7,1,2,2,2,USED
154.600531278,5,2,2,1,1,1,USED
154.686673106,8,0,0,1,2,2,USED
155.285564319,4,7,7,1,1,2,USED
159.035127545,7,3,3,1,1,2,USED
160.493470961,1,7,7,1,2,2,USED
162.144748858,2,7,1,2,2,2,USED
164.213289177,6,1,3,2,2,2,USED
164.600531278,5,4,4,1,1,2,USED
164.686673106,8,4,5,2,2,1,USED
165.285564319,4,6,6,1,1,2,USED
169.035127545,7,4,4,1,1,2,USED
169.264742471,3,1,1,1,1,2,USED
170.493470961,1,5,5,1,1,2,USED
172.144748858,2,1,1,1,1,2,USED
174.213289177,6,8,7,2,2,2,USED
174.600531278,5,1,1,1,2,2,USED
174.686673106,8,1,5,2,2,1,USED
175.285564319,4,0,0,1,1,1,USED
179.035127545,7,0,6,2,2,2,USED
179.264742471,3,4,4,1,1,2,USED
180.493470961,1,5,5,1,1,2,USED
181.877940882,0,3,3,1,1,2,USED
182.144748858,2,6,1,2,2,2,USED
184.213289177,6,8,7,2,2,2,USED
184.600531278,5,7,7,1,1,2,USED
184.686673106,8,5,5,1,1,1,USED
185.285564319,4,0,0,1,1,1,USED
189.035127545,7,6,6,1,1,2,USED
189.264742471,3,4,4,1,1,2,USED
190.493470961,1,3,3,1,1,2,USED
191.877940882,0,6,4,2,2,2,USED
192.144748858,2,7,4,2,2,3,USED
194.213289177,6,3,3,1,1,3,USED
194.600531278,5,1,1,1,2,2,USED
194.686673106,8,1,4,2,2,3,USED
195.285564319,4,5,8,2,2,3,USED
199.035127545,7,3,3,1,1,2,USED
199.264742471,3,7,7,1,1,2,USED
200.493470961,1,4,4,1,1,3,USED
201.877940882,0,6,4,2,2,2,USED
202.144748858,2,4,4,1,1,3,USED
204.213289177,6,3,3,1,1,3,USED
204.600531278,5,6,7,2,2,2,USED
204.686673106,8,5,5,1,1,3,USED
205.285564319,4,7,7,1,1,2,USED
209.035127545,7,0,6,2,2,3,USED
209.264742471,3,7,7,1,1,2,USED
210.493470961,1,3,3,1,1,2,USED
211.877940882,0,4,4,1,1,2,USED
212.144748858,2,7,7,1,1,3,USED
214.213289177,6,0,0,1,1,3,USED
214.600531278,5,1,1,1,2,2,USED
214.686673106,8,6,7,2,2,3,USED
215.285564319,4,8,8,1,1,3,USED
219.035127545,7,0,6,2,2,3,USED
219.264742471,3,8,2,2,2,3,USED
220.493470961,1,3,3,1,1,2,USED
221.877940882,0,1,3,2,2,2,USED
222.144748858,2,7,7,1,1,3,USED
224.213289177,6,3,3,1,1,3,USED
224.600531278,5,7,7,1,1,2,USED
224.686673106,8,0,3,2,2,3,USED
225.285564319,4,7,7,1,1,2,USED
229.035127545,7,1,4,2,2,3,USED
229.264742471,3,2,2,1,1,3,USED
230.493470961,1,5,5,1,1,2,USED
231.877940882,0,4,4,1,1,2,USED
232.144748858,2,7,7,1,1,3,USED
234.213289177,6,5,5,1,1,3,USED
234.600531278,5,1,1,1,2,2,USED
234.686673106,8,0,3,2,2,3,USED
235.285564319,4,1,1,1,1,3,USED
239.035127545,7,1,4,2,2,3,USED
239.264742471,3,1,1,1,1,3,USED
240.493470961,1,7,4,2,2,3,USED
241.877940882,0,7,4,2,2,2,USED
242.144748858,2,6,7,2,2,3,USED
244.213289177,6,4,3,2,2,4,USED
244.600531278,5,3,7,2,2,2,USED
244.686673106,8,4,4,1,1,3,USED
245.285564319,4,0,0,1,1,1,USED
249.035127545,7,0,6,2,2,3,USED
249.264742471,3,8,2,2,2,3,USED
250.493470961,1,7,4,2,2,4,USED
251.877940882,0,5,4,2,2,4,USED
252.144748858,2,1,1,1,1,4,USED
254.213289177,6,2,3,2,2,4,USED
254.600531278,5,2,4,2,2,4,USED
254.686673106,8,1,4,2,2,4,USED
255.285564319,4,6,6,1,1,3,USED
259.035127545,7,3,6,2,2,4,USED
259.264742471,3,6,6,1,1,4,USED
260.493470961,1,4,4,1,1,4,USED
261.877940882,0,3,4,2,2,4,USED
262.144748858,2,8,8,1,1,2,USED
264.213289177,6,2,3,2,2,4,USED
264.600531278,5,7,7,1,2,4,USED
264.686673106,8,5,5,1,1,3,USED
265.285564319,4,6,6,1,1,3,USED
269.035127545,7,1,5,2,2,4,USED
269.264742471,3,0,0,1,1,4,USED
270.493470961,1,8,4,2,2,4,USED
271.877940882,0,3,4,2,2,4,USED
272.144748858,2,4,4,1,1,4,USED
274.213289177,6,0,0,1,1,3,USED
274.600531278,5,1,1,1,1,4,USED
274.686673106,8,0,3,2,2,3,USED
275.285564319,4,7,7,1,1,4,USED
279.035127545,7,2,4,2,2,4,USED
279.264742471,3,2,2,1,1,3,USED
280.493470961,1,5,5,1,1,2,USED
281.877940882,0,6,4,2,2,4,USED
282.144748858,2,1,1,1,1,4,USED
284.213289177,6,2,3,2,2,4,USED
284.600531278,5,2,4,2,2,4,USED
284.686673106,8,3,3,1,1,3,USED
285.285564319,4,2,2,1,1,4,USED
289.035127545,7,3,6,2,2,4,USED
289.264742471,3,4,4,1,1,4,USED
290.493470961,1,7,4,2,2,4,USED
291.877940882,0,8,4,2,2,4,USED
292.144748858,2,3,3,1,1,4,USED
294.213289177,6,4,7,2,2,4,USED
294.600531278,5,3,4,2,2,4,USED
294.686673106,8,3,3,1,1,3,USED
295.285564319,4,3,3,1,1,4,USED
299.035127545,7,4,4,1,1,4,USED
299.264742471,3,7,7,1,2,4,USED
300.493470961,1,2,2,1,1,3,USED
301.877940882,0,5,4,2,2,4,USED
302.144748858,2,8,8,1,1,2,USED
304.213289177,6,2,3,2,2,5,USED
304.600531278,5,3,3,1,1,5,USED
304.686673106,8,3,3,1,1,5,USED
305.285564319,4,7,7,1,1,4,USED
309.035127545,7,1,5,2,2,5,USED
309.264742471,3,4,4,1,1,4,USED
310.493470961,1,7,4,2,2,5,USED
311.877940882,0,8,4,2,3,5,USED
312.144748858,2,5,5,1,1,5,USED
314.213289177,6,2,3,2,2,5,USED
314.600531278,5,7,7,1,1,5,USED
314.686673106,8,4,4,1,1,5,USED
315.285564319,4,2,2,1,2,5,USED
319.035127545,7,5,5,1,1,5,USED
319.264742471,3,1,1,1,1,3,USED
320.493470961,1,5,5,1,1,2,USED
321.877940882,0,8,4,2,3,5,USED
322.144748858,2,8,8,1,1,2,USED
324.213289177,6,2,3,2,2,5,USED
324.600531278,5,7,7,1,1,5,USED
324.686673106,8,6,4,2,2,5,USED
325.285564319,4,8,8,1,1,3,USED
329.035127545,7,0,6,2,2,5,USED
329.264742471,3,5,7,2,2,5,USED
330.493470961,1,6,6,1,1,3,USED
331.877940882,0,5,1,2,2,5,USED
332.144748858,2,6,4,2,2,5,USED
334.213289177,6,0,0,1,1,3,USED
334.600531278,5,1,1,1,1,4,USED
