timestamp(s),nodeId,src,dst,seq,ttl,hops,rssi(dBm),battery(mV),score,sf,energyJ,energyFrac,forwarded
124.740307868,4,5,3,2,63,0,0,0,0,12,38879.753979633,0.999993672,1
134.740307868,4,5,0,3,63,0,0,0,0,12,38879.625369201,0.999990364,1
134.740308598,0,5,0,3,63,0,0,0,0,12,38879.712365937,0.999992602,0
150.633247551,0,1,0,1,63,0,0,0,0,12,38879.689336831,0.999992010,0
152.284525448,1,2,7,1,63,0,0,0,0,12,38879.608552227,0.999989932,1
152.284526178,7,2,7,1,63,0,0,0,0,12,38879.683136163,0.999991850,0
155.425340909,7,4,7,1,63,0,0,0,0,12,38879.673351645,0.999991599,0
159.174904380,3,7,3,1,63,0,0,0,0,12,38879.680395274,0.999991780,0
160.633248142,7,1,7,2,63,0,0,0,0,12,38879.602439743,0.999989775,0
162.284525448,1,2,7,2,63,0,0,0,0,12,38879.449570467,0.999985843,1
164.353065767,3,6,1,1,63,0,0,0,0,12,38879.643915840,0.999990841,1
164.353066497,1,6,1,1,63,0,0,0,0,12,38879.379788736,0.999984048,0
164.740307868,4,5,4,6,63,0,0,0,0,12,38879.398610673,0.999984532,0
169.174904135,4,7,4,2,63,0,0,0,0,12,38879.327977162,0.999982715,0
169.404519306,1,3,1,1,63,0,0,0,0,12,38879.343354917,0.999983111,0
170.633247796,5,1,5,3,63,0,0,0,0,12,38879.287310143,0.999981669,0
172.284525448,1,2,1,3,63,0,0,0,0,12,38879.273281059,0.999981309,0
174.353065767,7,6,8,2,63,0,0,0,0,12,38879.485194432,0.999986759,1
175.425341154,0,4,0,3,63,0,0,0,0,12,38879.619834909,0.999990222,0
179.174904135,6,7,0,3,63,0,0,0,0,12,38879.509168330,0.999987376,1
180.633247796,5,1,5,4,63,0,0,0,0,12,38879.180057791,0.999978911,0
182.017717472,3,0,3,1,63,0,0,0,0,12,38879.378522454,0.999984015,0
182.284525448,1,2,6,4,63,0,0,0,0,12,38879.166028707,0.999978550,1
184.353065767,7,6,8,3,63,0,0,0,0,12,38879.317558848,0.999982448,1
184.492842359,8,6,8,3,62,1,0,0,0,12,38879.332966641,0.999982844,0
189.174904135,6,7,6,4,63,0,0,0,0,12,38879.334717514,0.999982889,0
189.404519061,4,3,4,3,63,0,0,0,0,12,38879.084110565,0.999976443,0
192.017717717,4,0,6,2,63,0,0,0,0,12,38879.024251926,0.999974904,1
192.157494552,6,0,6,2,62,1,0,0,0,12,38879.247299078,0.999980640,0
194.353065767,3,6,3,4,63,0,0,0,0,12,38879.196042432,0.999979322,0
194.740308113,1,5,1,9,63,0,0,0,0,12,38878.910970801,0.999971990,0
195.425340909,5,4,5,5,63,0,0,0,0,12,38878.938521949,0.999972699,0
195.425341155,8,4,5,5,63,0,0,0,0,12,38879.116569885,0.999977278,1
199.404519306,7,3,7,4,63,0,0,0,0,12,38879.032301093,0.999975111,0
200.633247551,4,1,4,6,63,0,0,0,0,12,38878.857114751,0.999970605,0
202.017718063,6,0,6,3,63,0,0,0,0,12,38879.143594517,0.999977973,0
202.284525693,4,2,4,6,63,0,0,0,0,12,38878.847866467,0.999970367,0
204.353065767,3,6,3,5,63,0,0,0,0,12,38879.071482432,0.999976118,0
205.425340909,7,4,7,6,63,0,0,0,0,12,38879.004172125,0.999974387,0
209.174904135,6,7,0,6,63,0,0,0,0,12,38879.063327050,0.999975909,1
210.633247796,3,1,3,7,63,0,0,0,0,12,38878.982876863,0.999973839,0
212.017717717,4,0,4,4,63,0,0,0,0,12,38878.758017814,0.999968056,0
214.353066358,0,6,0,6,63,0,0,0,0,12,38879.200418304,0.999979435,0
215.425341155,8,4,8,7,63,0,0,0,0,12,38878.858989597,0.999970653,0
219.174904135,6,7,0,7,63,0,0,0,0,12,38878.895691466,0.999971597,1
220.633247796,3,1,3,8,63,0,0,0,0,12,38878.875624511,0.999971081,0
222.017717472,1,0,1,5,63,0,0,0,0,12,38878.616155350,0.999964407,0
222.017717472,3,0,1,5,63,0,0,0,0,12,38878.866472278,0.999970845,1
224.353065767,3,6,3,7,63,0,0,0,0,12,38878.796594496,0.999969048,0
225.425340909,7,4,7,8,63,0,0,0,0,12,38878.824282717,0.999969760,0
229.174904135,4,7,1,8,63,0,0,0,0,12,38878.561844170,0.999963010,1
230.633247796,5,1,5,9,63,0,0,0,0,12,38878.597582399,0.999963930,0
232.017717717,4,0,4,6,63,0,0,0,0,12,38878.483129877,0.999960986,0
235.425340909,1,4,1,9,63,0,0,0,0,12,38878.499022429,0.999961395,0
239.174904135,4,7,1,9,63,0,0,0,0,12,38878.394208586,0.999958699,1
