timestamp(s),nodeId,src,seq,dst,ttl,hops,rssi(dBm),battery(mV),score,sf,energyJ,energyFrac,forwarded,ok
2.414766730,0,0,1,65535,63,0,0,4200,0,7,38879.982210108,0.999999542,0,1
2.807546093,1,1,1,65535,63,0,0,4200,0,8,38879.965220131,0.999999105,0,1
3.595940747,3,3,1,65535,63,0,0,4200,0,8,38879.955873525,0.999998865,0,1
8.473097285,2,2,1,65535,63,0,0,4200,0,8,38879.944286005,0.999998567,0,1
8.722219627,5,5,1,65535,63,0,0,4200,0,7,38879.973304481,0.999999313,0,1
8.970359947,8,8,1,65535,63,0,0,4200,0,7,38879.968551278,0.999999191,0,1
9.754940824,4,4,1,65535,63,0,0,4200,0,8,38879.923343133,0.999998028,0,1
11.363189829,6,6,1,65535,63,0,0,4200,0,8,38879.925106180,0.999998074,0,1
12.813150705,7,7,1,65535,63,0,0,4200,0,7,38879.936060994,0.999998355,0,1
62.414766730,0,0,2,65535,63,0,0,4200,0,8,38879.881094460,0.999996942,0,1
62.807546093,1,1,2,65535,63,0,0,4200,0,8,38879.858754595,0.999996367,0,1
63.595940747,3,3,2,65535,63,0,0,4200,0,8,38879.857135605,0.999996326,0,1
68.473097285,2,2,2,65535,63,0,0,4200,0,8,38879.825572405,0.999995514,0,1
68.722219627,5,5,2,65535,63,0,0,4200,0,8,38879.862138785,0.999996454,0,1
68.970359947,8,8,2,65535,63,0,0,4200,0,7,38879.888586350,0.999997134,0,1
69.754940824,4,4,2,65535,63,0,0,4200,0,7,38879.805445149,0.999994996,0,1
71.363189829,6,6,2,65535,63,0,0,4200,0,7,38879.842376452,0.999995946,0,1
72.813150705,7,7,2,65535,63,0,0,4200,0,7,38879.849280834,0.999996123,0,1
114.600531278,5,5,1,1,63,0,0,4200,75,8,38879.769770305,0.999994078,0,1
122.414766730,0,0,3,65535,63,0,0,4200,0,8,38879.771490876,0.999994123,0,1
122.807546093,1,1,3,65535,63,0,0,4200,0,8,38879.748045091,0.999993520,0,1
123.595940747,3,3,3,65535,63,0,0,4200,0,7,38879.774405877,0.999994198,0,1
124.600531278,5,5,2,3,63,0,0,4200,75,8,38879.696580289,0.999992196,0,1
124.740307868,4,5,2,3,62,1,0,4200,72,8,38879.693596401,0.999992119,1,1
128.473097285,2,2,3,65535,63,0,0,4200,0,8,38879.690007349,0.999992027,0,1
128.722219627,5,5,3,65535,63,0,0,4200,0,7,38879.654039201,0.999991102,0,1
128.970359947,8,8,3,65535,63,0,0,4200,0,8,38879.761122158,0.999993856,0,1
129.754940824,4,4,3,65535,63,0,0,4200,0,7,38879.650180893,0.999991003,0,1
131.363189829,6,6,3,65535,63,0,0,4200,0,7,38879.760199684,0.999993832,0,1
132.813150705,7,7,3,65535,63,0,0,4200,0,8,38879.716107330,0.999992698,0,1
134.600531278,5,5,3,0,63,0,0,4200,75,8,38879.567969857,0.999988888,0,1
134.740307868,4,5,3,0,62,1,0,4200,72,8,38879.564985969,0.999988811,1,1
144.600531278,5,5,4,6,63,0,0,4200,75,8,38879.495332801,0.999987020,0,1
144.686673106,8,8,1,7,63,0,0,4200,75,8,38879.663410270,0.999991343,0,1
150.493470961,1,1,1,0,63,0,0,4200,75,8,38879.617850830,0.999990171,0,1
152.144748858,2,2,1,7,63,0,0,4200,75,8,38879.580777714,0.999989218,0,1
152.284525448,1,2,1,7,62,1,0,4200,72,8,38879.548168995,0.999988379,1,1
154.600531278,5,5,5,2,63,0,0,4200,75,8,38879.422695745,0.999985152,0,1
154.686673106,8,8,2,0,63,0,0,4200,75,8,38879.599427038,0.999989697,0,1
155.285564319,4,4,1,7,63,0,0,4200,75,8,38879.462591149,0.999986178,0,1
159.035127545,7,7,1,3,63,0,0,4200,75,8,38879.611668890,0.999990012,0,1
160.493470961,1,1,2,7,63,0,0,4200,75,8,38879.458869070,0.999986082,0,1
162.144748858,2,2,2,7,63,0,0,4200,75,8,38879.499486834,0.999987127,0,1
162.284525448,1,2,2,7,62,1,0,4200,72,8,38879.389187235,0.999984290,1,1
164.213289177,6,6,1,1,63,0,0,4200,75,8,38879.626860688,0.999990403,0,1
164.353065767,3,6,1,1,62,1,0,4200,72,8,38879.583532608,0.999989288,1,1
164.600531278,5,5,6,4,63,0,0,4200,75,8,38879.315443393,0.999982393,0,1
164.686673106,8,8,3,4,63,0,0,4200,75,8,38879.492174686,0.999986939,0,1
165.285564319,4,4,2,6,63,0,0,4200,75,8,38879.338031149,0.999982974,0,1
169.035127545,7,7,2,4,63,0,0,4200,75,8,38879.513070362,0.999987476,0,1
169.264742471,3,3,1,1,63,0,0,4200,75,8,38879.504073525,0.999987245,0,1
170.493470961,1,1,3,5,63,0,0,4200,75,8,38879.282579662,0.999981548,0,1
172.144748858,2,2,3,1,63,0,0,4200,75,8,38879.409542130,0.999984813,0,1
174.213289177,6,6,2,8,63,0,0,4200,75,8,38879.528262160,0.999987867,0,1
174.353065767,7,6,2,8,62,1,0,4200,72,8,38879.424811200,0.999985206,1,1
174.600531278,5,5,7,1,63,0,0,4200,75,8,38879.208191041,0.999979635,0,1
174.686673106,8,8,4,1,63,0,0,4200,75,8,38879.402229982,0.999984625,0,1
175.285564319,4,4,3,0,63,0,0,4200,75,8,38879.222124973,0.999979993,0,1
179.035127545,7,7,3,0,63,0,0,4200,75,8,38879.354088602,0.999983387,0,1
179.174904135,6,7,3,0,62,1,0,4200,72,8,38879.448785098,0.999985823,1,1
179.264742471,3,3,2,4,63,0,0,4200,75,8,38879.396821173,0.999984486,0,1
180.493470961,1,1,4,5,63,0,0,4200,75,8,38879.175327310,0.999978789,0,1
181.877940882,0,0,1,3,63,0,0,4200,75,8,38879.548474917,0.999988387,0,1
182.144748858,2,2,4,6,63,0,0,4200,75,8,38879.328251250,0.999982723,0,1
182.284525448,1,2,4,6,62,1,0,4200,72,8,38879.105645475,0.999976997,1,1
182.414766730,0,0,4,65535,63,0,0,4200,0,7,38879.515878204,0.999987548,0,1
182.807546093,1,1,4,65535,63,0,0,4200,0,7,38879.073053731,0.999976159,0,1
183.595940747,3,3,4,65535,63,0,0,4200,0,7,38879.331740661,0.999982812,0,1
184.213289177,6,6,3,8,63,0,0,4200,75,8,38879.367621520,0.999983735,0,1
184.353065767,7,6,3,8,62,1,0,4200,72,8,38879.257175616,0.999980894,1,1
184.600531278,5,5,8,7,63,0,0,4200,75,8,38879.092284865,0.999976653,0,1
184.686673106,8,8,5,5,63,0,0,4200,75,8,38879.272513630,0.999981289,0,1
185.285564319,4,4,4,0,63,0,0,4200,75,8,38879.104559917,0.999976969,0,1
188.473097285,2,2,4,65535,63,0,0,4200,0,7,38879.262451765,0.999981030,0,1
188.722219627,5,5,4,65535,63,0,0,4200,0,7,38879.049743777,0.999975559,0,1
188.970359947,8,8,4,65535,63,0,0,4200,0,7,38879.224757870,0.999980061,0,1
189.035127545,7,7,4,6,63,0,0,4200,75,8,38879.186453018,0.999979075,0,1
189.264742471,3,3,3,4,63,0,0,4200,75,8,38879.238198837,0.999980406,0,1
189.754940824,4,4,4,65535,63,0,0,4200,0,7,38879.051580957,0.999975607,0,1
190.493470961,1,1,5,3,63,0,0,4200,75,8,38878.956321742,0.999973156,0,1
191.363189829,6,6,4,65535,63,0,0,4200,0,8,38879.256238852,0.999980870,0,1
191.877940882,0,0,2,6,63,0,0,4200,75,8,38879.407160229,0.999984752,0,1
192.017717717,4,0,2,6,62,1,0,4200,72,8,38878.963868694,0.999973351,1,1
192.144748858,2,2,5,7,63,0,0,4200,75,8,38879.169628914,0.999978643,0,1
192.813150705,7,7,4,65535,63,0,0,4200,0,7,38879.129672514,0.999977615,0,1
194.213289177,6,6,4,3,63,0,0,4200,75,8,38879.181019408,0.999978936,0,1
194.600531278,5,5,9,1,63,0,0,4200,75,8,38878.947472705,0.999972929,0,1
